seed,layer,parameter_update_ratio
123,conv1,0.9862369632201294
123,conv2,1.0791051007435382
123,fc1,1.199493333429425
123,fc2,1.2142594522675194
456,conv1,1.0080424547742286
456,conv2,1.085850609557641
456,fc1,1.1464983874162307
456,fc2,1.1438312457707702
