seed,method,layer,kappa,H_q50,H_q10,H_q90,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_gain_db,mse_reduction,relmse_improvement,cosine_improvement
42,dp_sgd,conv1,,1.0,1.0,1.0,2614.1412559577902,2614.1412559577902,0.005081591422535401,0.005081591422535401,1.0,1.0,0.0,0.0,0.0,0.0
42,dp_sgd,conv2,,1.0,1.0,1.0,27185.7084627287,27185.7084627287,0.0088678375410076,0.0088678375410076,1.0,1.0,0.0,0.0,0.0,0.0
42,dp_sgd,fc1,,1.0,1.0,1.0,954916.3688423762,954916.3688423762,2.300995162390001e-05,2.300995162390001e-05,1.0,1.0,0.0,0.0,0.0,0.0
42,dp_sgd,fc2,,1.0,1.0,1.0,12122.54137068175,12122.54137068175,-0.015563347745288152,-0.015563347745288152,1.0,1.0,0.0,0.0,0.0,0.0
42,dp_scalar_wiener,conv1,1.7947731262206432,6.766265414626105e-06,6.766265414626105e-06,6.766265414626105e-06,86086.39192007255,1.0002117652410871,-0.049289732972412,-0.04928973388723595,4.5782347707828894e-11,4.578234734249314e-11,-0.0014270482832360498,0.9999856646398886,86085.39170830732,-9.148239457634766e-10
42,dp_scalar_wiener,conv2,2.7093968047402264,2.959731318696868e-06,2.959731318696868e-06,2.959731318696868e-06,127471.72605115123,1.0000001039782298,-0.0007117279395288494,-0.0007117281500390992,8.760009473310478e-12,8.760009470785783e-12,-0.00022845282970679998,0.9999919931663125,127470.72605104724,-2.105102498567435e-10
42,dp_scalar_wiener,fc1,0.32941049276619155,6.075291821616702e-06,6.075291821616702e-06,6.075291821616702e-06,512305.67385773704,1.0000066466033206,0.00140753002910885,0.0014075299605486999,3.6909170717572154e-11,3.690917071474874e-11,-1.252710771048453e-06,0.9999979989485488,512304.6738510904,-6.85601499617744e-11
42,dp_scalar_wiener,fc2,0.28786492932070096,0.0001533777103759,0.0001533777103759,0.0001533777103759,24761.875564289476,1.0001870313780223,0.00615622105075615,0.006156220491246701,2.3524722124299026e-08,2.3524722037203346e-08,-2.8649819503972436e-07,0.9999563852061015,24760.875377258097,-5.595094491883668e-10
42,dp_fisher_wiener,conv1,1.6396909525873853,2.2734117237632745e-06,1.2603915649833654e-06,2.191001985920591e-05,93417.70802983653,1.000482904332122,-0.04576237448975405,-0.0777573025372441,4.268489839120771e-10,1.2089448779462425e-10,5.476254642372937,0.9999869491647007,93416.70754693222,-0.031994928047490045
42,dp_fisher_wiener,conv2,2.73182553443379,1.304033929727666e-07,4.1552430474212096e-08,1.7174137951769816e-06,128360.95251845104,0.9992337902822739,-0.0013792670622457502,0.054153461930931596,3.243571563081286e-08,5.556364139749512e-10,17.824873153559423,0.9999919349031383,128359.95328466076,0.05553272899317734
42,dp_fisher_wiener,fc1,0.32835958990970626,2.1399458594029144e-10,2.115108824196632e-10,2.1838866687273748e-10,519520.4376704458,1.1215096934593776,0.0007760572933386917,0.1347766354450706,0.0036145708836518497,4.02900991207984e-07,39.56414827825381,0.9999978476140821,519519.3161607524,0.1340005781517319
42,dp_fisher_wiener,fc2,0.2894891673297842,1.663486699499117e-07,2.1405103522997848e-10,3.355254449388667e-07,22082.619103994366,1.3902262026699423,0.00805461484239335,-0.1757944404362681,0.0007402294813054001,1.054808589792843e-05,19.60934245565524,0.9999352497283289,22081.228877791695,-0.18384905527866147
