seed,run_id,method,learning_rate,interval_index,start_step,end_step,n_steps,layer,trace_F,oracle_signal_energy_sum,noisy_energy_sum,expected_noise_energy_sum,noise_debiased_energy_sum,beta_oracle,beta_dp_raw,beta_dp_positive,beta_dp_negative,estimated_signal_energy_positive,estimated_energy_to_noise_ratio,oracle_estimator_sd,oracle_observability_snr,conditional_variance_sum,sample_count,beta_oracle_interval,beta_dp_raw_interval,raw_positive,raw_finite,was_used_by_next_interval,next_beta_train,applied_to_training
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,0,0,49,50,conv1,0.02513355683726442,0.005275636579120282,0.14231526829883784,0.13926637620897964,0.003048892089858245,0.20990409806614907,0.12130762508463533,0.12130762508463533,False,0.003048892089858245,0.021892521172958944,0.09087003138697854,2.309937553251135,5.2161402798800715e-06,50,0.20990409806614907,0.12130762508463533,True,True,True,0.12130762508463533,True
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,1,50,99,50,conv1,0.02512900242800792,0.02622087964863882,0.16626004463155408,0.13926637620897964,0.026993668422574377,1.043450878074409,1.074203741271009,1.074203741271009,False,0.026993668422574377,0.1938276069011412,0.1028106642973557,10.149247500347462,6.674624330434119e-06,50,1.043450878074409,1.074203741271009,True,True,True,1.074203741271009,True
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,2,100,149,50,conv1,0.02513338671036036,0.011792618500020918,0.14997496286036568,0.13926637620897964,0.010708586651386031,0.4692013311186519,0.4260701820567536,0.4260701820567536,False,0.010708586651386031,0.07689283618064494,0.0947410428658774,4.952461116215212,5.669938507851707e-06,50,0.4692013311186519,0.4260701820567536,True,True,True,0.4260701820567536,True
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,3,150,199,50,conv1,0.025138460763873827,0.009381310454920216,0.14808617386621314,0.13926637620897964,0.008819797657233472,0.37318555591128244,0.35084875482544636,0.35084875482544636,False,0.008819797657233472,0.06333041684042509,0.09330885317835745,3.999465677967398,5.502031441169338e-06,50,0.37318555591128244,0.35084875482544636,True,True,True,0.35084875482544636,True
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,4,200,249,50,conv1,0.02513395442070125,0.028831179855452773,0.1680358365168534,0.13926637620897964,0.02876946030787379,1.1471008251573158,1.144645200923027,1.144645200923027,False,0.02876946030787379,0.2065786522979278,0.10418060264093992,11.010694847169361,6.8563878557443825e-06,50,1.1471008251573158,1.144645200923027,True,True,True,1.144645200923027,True
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,5,250,299,50,conv1,0.025140463299144766,0.027660213152068677,0.16746894821692992,0.13926637620897964,0.028202572007950254,1.1002268662650154,1.1218000110964406,1.1218000110964406,False,0.028202572007950254,0.20250811987401518,0.1035324654130379,10.626877872648437,6.77484971102354e-06,50,1.1002268662650154,1.1218000110964406,True,True,True,1.1218000110964406,True
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,6,300,349,50,conv1,0.025139447545802565,0.07457859826938959,0.21658368423523047,0.13926637620897964,0.07731730802625081,2.966596546463953,3.0755372760432906,3.0755372760432906,False,0.07731730802625081,0.5551757009148799,0.12605288456652453,23.534539138960866,1.0041926447456847e-05,50,2.966596546463953,3.0755372760432906,True,True,True,3.0755372760432906,True
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,7,350,399,50,conv1,0.025137627873211832,0.017391200505398524,0.15561037484351228,0.13926637620897964,0.01634399863453259,0.6918393649995763,0.6501806263092048,0.6501806263092048,False,0.01634399863453259,0.11735782232094442,0.0979274255449153,7.064817244416278,6.0597856217505765e-06,50,0.6918393649995763,0.6501806263092048,True,True,True,0.6501806263092048,True
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,8,400,449,50,conv1,0.025137202835390227,0.014663577324148528,0.15480636125336933,0.13926637620897964,0.015539985044389644,0.5833416478425331,0.618206613764964,0.618206613764964,False,0.015539985044389644,0.11158461552097217,0.09638215789170483,6.0523821041026755,5.869852523692428e-06,50,0.5833416478425331,0.618206613764964,True,True,True,0.618206613764964,True
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,9,450,499,50,conv1,0.02514184172204212,0.0033696404847533114,0.14278432736996213,0.13926637620897964,0.0035179511609825086,0.13402520475654384,0.13992416306949715,0.13992416306949715,False,0.0035179511609825086,0.025260592374991495,0.08967696373841302,1.4945332569768914,5.083419695314595e-06,50,0.13402520475654384,0.13992416306949715,True,True,True,0.13992416306949715,True
