step,layer,R_diag,A_diag_raw,A_diag_pre,R_full,S_full_raw,S_full_pre,rank_raw,rank_pre,eigen_tolerance_raw,eigen_tolerance_pre,R_diag_new,R_full_new,A_diag_new,S_full_new,rank_new,eigen_tolerance_new,R_diag_old,R_full_old,A_diag_old,S_full_old,rank_old,eigen_tolerance_old,private_delta_stale_diag,private_delta_stale_full
0,conv1,1.0976310412795725,1.070927750152876,1.1754835415354912,1.0399923090829093,2.4776459785892038,2.5767327623629703,160,160,2.099057303978818e-15,1.2096246002801078e-11,1.0976310412795725,1.0399923090829093,1.1754835415354912,2.5767327623629703,160,1.2096246002801078e-11,,,,,,,,
0,conv2,0.6863175907073384,2.1213207192770906,1.455899725171811,0.9999269664939242,2.0269674738073027,2.026819437265989,512,512,2.68081967141971e-13,1.942028628281068e-09,0.6863175907073384,0.9999269664939242,1.455899725171811,2.026819437265989,512,1.942028628281068e-09,,,,,,,,
0,fc1,1.5105847098273457,8.792181575083564,13.281335053346941,0.9487056836227392,1.8909002607235736,1.7939078245121738,512,512,1.4928894250729488e-10,5.279749771405121e-06,1.5105847098273457,0.9487056836227392,13.281335053346941,1.7939078245121738,512,5.279749771405121e-06,,,,,,,,
0,fc2,0.7462530973512295,6.509270931364751,4.857563594029268,1.334349560110619,2.4750108757771097,3.302529673362184,512,512,1.191259624331098e-13,5.474556416654315e-10,0.7462530973512295,1.334349560110619,4.857563594029268,3.302529673362184,512,5.474556416654315e-10,,,,,,,,
50,conv1,1.0878308733699789,1.0645475799594704,1.1580477236512081,1.0439025876023407,2.4797044928816274,2.588569936608281,160,160,2.050655454703152e-15,1.1506242400064308e-11,1.0878308733699789,1.0439025876023407,1.1580477236512081,2.588569936608281,160,1.1506242400064308e-11,1.0918814042860285,1.044831236253346,1.1623597065354396,2.5908727108404874,160,1.1831625265602852e-11,0.004311982884231513,0.0023027742322065947
50,conv2,0.6829678323339842,2.127764237851851,1.4531945292434507,0.9963121274168075,2.027835082205608,2.020356684802706,512,512,2.6163493966356394e-13,1.977097843762813e-09,0.6829678323339842,0.9963121274168075,1.4531945292434507,2.020356684802706,512,1.977097843762813e-09,0.6839118573343346,0.9974870715177475,1.4552031918788344,2.022739277670223,512,1.8866720532114153e-09,0.0020086626353836845,0.002382592867516742
50,fc1,1.5119000450805515,8.79087574173358,13.290925430224526,0.9536983188531923,1.8836763059531594,1.7964589262511197,512,512,1.4938328885954348e-10,7.079099541744265e-06,1.5119000450805515,0.9536983188531923,13.290925430224526,1.7964589262511197,512,7.079099541744265e-06,1.5097872330352347,0.950915625738084,13.272351962068507,1.791217233163451,512,5.058773737027492e-06,-0.01857346815601879,-0.005241693087668642
50,fc2,0.7503332376895111,6.410769582810794,4.810213497151859,1.3361865071122965,2.4761286378117155,3.3085696757183647,512,512,1.1865423522782049e-13,8.913102063195211e-10,0.7503332376895111,1.3361865071122965,4.810213497151859,3.3085696757183647,512,8.913102063195211e-10,0.7470145039824,1.3247974056438467,4.788937860048862,3.280368795413393,512,5.802946495266547e-10,-0.02127563710299718,-0.028200880304971587
100,conv1,1.1014197177904066,1.0585231668603217,1.165878287717903,1.0479568100332568,2.4720343304079297,2.590585211186992,160,160,1.995146627873737e-15,1.1290375380539674e-11,1.1014197177904066,1.0479568100332568,1.165878287717903,2.590585211186992,160,1.1290375380539674e-11,1.0867935864507368,1.0480216318927968,1.1503961888533207,2.5907454530491356,160,1.1218684367184584e-11,-0.015482098864582294,0.0001602418621438062
100,conv2,0.6796253224837668,2.1292010079819232,1.447058921682476,0.9932710968353056,2.0354291679119862,2.021732962142512,512,512,2.5637712808944984e-13,1.9015847922433386e-09,0.6796253224837668,0.9932710968353056,1.447058921682476,2.021732962142512,512,1.9015847922433386e-09,0.6799747463631728,0.9939855146985361,1.4478029153587202,2.0231871090994087,512,1.9224191073040948e-09,0.0007439936762441146,0.001454146956896718
