seed,alpha,accuracy_auc,final_accuracy,late_mean_accuracy,final_test_loss,T50,T70,T80,T85,T90
123,0.0,0.0,0.0,0.0,0.0,,,,,
123,0.25,0.0,0.0,0.0,-8.094310760498047e-05,,,,,
123,0.5,0.0,0.0,0.0,-0.00024372339248657227,,,,,
123,0.75,0.0,0.0,0.0,-0.0007192790508270264,,,,,
123,1.0,0.0,0.0,0.0,-0.04309907555580139,,,,,
mean,0.0,0.0,0.0,0.0,0.0,,,,,
mean,0.25,0.0,0.0,0.0,-8.094310760498047e-05,,,,,
mean,0.5,0.0,0.0,0.0,-0.00024372339248657227,,,,,
mean,0.75,0.0,0.0,0.0,-0.0007192790508270264,,,,,
mean,1.0,0.0,0.0,0.0,-0.04309907555580139,,,,,
