seed,family,alpha,run_id,accuracy_auc,final_accuracy,late_mean_accuracy,final_test_loss,T50,T70,T80,T85,T90
123,beta1,0.0,dp_adam,0.09375,0.09375,0.09375,2.304112046957016,,,,,
123,beta1,0.25,dp_fisher_wiener_beta1_alpha0p25_adam,0.09375,0.09375,0.09375,2.304108440876007,,,,,
123,beta1,0.5,dp_fisher_wiener_beta1_alpha0p50_adam,0.09375,0.09375,0.09375,2.304348647594452,,,,,
123,beta1,0.75,dp_fisher_wiener_beta1_alpha0p75_adam,0.09375,0.09375,0.09375,2.3043659329414368,,,,,
123,beta1,1.0,dp_fisher_wiener_beta1_adam,0.09375,0.09375,0.09375,2.3896650671958923,,,,,
123,adaptive_beta,0.0,dp_adam,0.09375,0.09375,0.09375,2.304112046957016,,,,,
123,adaptive_beta,0.25,dp_fisher_wiener_adaptive_beta_alpha0p25_adam,0.09375,0.09375,0.09375,2.304027497768402,,,,,
123,adaptive_beta,0.5,dp_fisher_wiener_adaptive_beta_alpha0p50_adam,0.09375,0.09375,0.09375,2.3041049242019653,,,,,
123,adaptive_beta,0.75,dp_fisher_wiener_adaptive_beta_alpha0p75_adam,0.09375,0.09375,0.09375,2.3036466538906097,,,,,
123,adaptive_beta,1.0,dp_fisher_wiener_adaptive_beta_adam,0.09375,0.09375,0.09375,2.346565991640091,,,,,
mean,adaptive_beta,0.0,,0.09375,0.09375,0.09375,2.304112046957016,,,,,
mean,adaptive_beta,0.25,,0.09375,0.09375,0.09375,2.304027497768402,,,,,
mean,adaptive_beta,0.5,,0.09375,0.09375,0.09375,2.3041049242019653,,,,,
mean,adaptive_beta,0.75,,0.09375,0.09375,0.09375,2.3036466538906097,,,,,
mean,adaptive_beta,1.0,,0.09375,0.09375,0.09375,2.346565991640091,,,,,
mean,beta1,0.0,,0.09375,0.09375,0.09375,2.304112046957016,,,,,
mean,beta1,0.25,,0.09375,0.09375,0.09375,2.304108440876007,,,,,
mean,beta1,0.5,,0.09375,0.09375,0.09375,2.304348647594452,,,,,
mean,beta1,0.75,,0.09375,0.09375,0.09375,2.3043659329414368,,,,,
mean,beta1,1.0,,0.09375,0.09375,0.09375,2.3896650671958923,,,,,
