seed,family,alpha,run_id,layer,filtered_gradient_norm,filter_gradient_norm_ratio,parameter_update_norm,gradient_norm_into_adam,adam_first_moment_norm,adam_second_moment_sqrt_norm,adam_normalized_update_norm,signal_retention,noise_retention,cosine_filtered,snr_gain_db,relmse_filtered,beta_train,clean_gradient_distortion
123,beta1,0.0,dp_adam,conv1,8.917816869827906,1.0,0.008815601500622976,8.917816869827906,1.240677984036673,0.4297150592197857,8.815605668787578,1.0,1.0,0.046453061598199924,0.0,122026.95345020731,,0.0
123,beta1,0.0,dp_adam,conv2,46.578222055601856,1.0,0.0475336201488935,46.57822205560186,6.5026434594263485,2.2507620720064283,47.5336211028098,1.0,1.0,0.0004064774768268247,0.0,148317.0319683955,,0.0
123,beta1,0.0,dp_adam,fc1,306.38900359471495,1.0,0.3125622653641996,306.38900359471495,43.22633748481695,14.881027124253551,312.56225153066083,1.0,1.0,0.0013327145469373249,0.0,435605.95760220755,,0.0
123,beta1,0.0,dp_adam,fc2,24.5972015397069,1.0,0.025004043272538024,24.5972015397069,3.428329445344869,1.189711131083081,25.004041765263334,1.0,1.0,0.010587935144397325,0.0,25573.74985032311,,0.0
123,beta1,0.25,dp_fisher_wiener_beta1_alpha0p25_adam,conv1,6.688369891970042,0.7500016539732874,0.008815598095412524,6.688369891970041,0.930509864700074,0.3222868093468334,8.815604619253318,0.5625063241846249,0.5625024754216977,0.04594612629606945,2.9721818790471658e-05,68290.27851464698,1.0,0.24999578333948644
123,beta1,0.25,dp_fisher_wiener_beta1_alpha0p25_adam,conv2,34.93369092400124,0.7500004987724301,0.0475336075116494,34.93369092400124,4.876985273850548,1.6880726327301598,47.53360789638141,0.5625308255551583,0.5625007446722898,0.0004242733922995242,0.00023224182706205003,83386.03270951174,1.0,0.24997945120449214
123,beta1,0.25,dp_fisher_wiener_beta1_alpha0p25_adam,fc1,229.79214943670164,0.7500013041070521,0.31256226102176576,229.7921494367016,32.41980606902019,11.160787971104401,312.56224703126645,0.5726897615977982,0.562501870329911,0.001358084369604275,0.07789197529667855,245068.22576714683,1.0,0.24375375803466168
123,beta1,0.25,dp_fisher_wiener_beta1_alpha0p25_adam,fc2,18.44931907879063,0.7500579021697878,0.025003732291519126,18.44931907879063,2.5715356638175573,0.8923696111535295,25.00373014799861,0.5676030880479728,0.5625882761700107,0.010494632308823923,0.038530040209009096,14387.765654846366,1.0,0.2466502984407614
123,beta1,0.5,dp_fisher_wiener_beta1_alpha0p50_adam,conv1,4.458932585770243,0.5000033394933263,0.0088155963636665,4.458932585770242,0.6203430225564392,0.21485884916374354,8.815603512097907,0.2500085046959193,0.2500033441470204,0.04589791448817643,8.965233175624348e-05,30335.39047124312,1.0,0.4999914950496238
123,beta1,0.5,dp_fisher_wiener_beta1_alpha0p50_adam,conv2,23.289156257723754,0.5000009551832605,0.04753359805921302,23.289156257723754,3.251327443588706,1.1253831931924951,47.53359853188818,0.25004084302106483,0.25000095584614423,0.0004252813455675503,0.000692852337199375,37059.370681087465,1.0,0.4999591625866467
