aggregation,seed,n_runs,sample_count,method,learning_rate,layer,interval_count,oracle_beta_median,oracle_beta_mean,dp_beta_raw_median,dp_beta_raw_mean,negative_interval_rate,positive_interval_coverage,median_positive_ratio,median_log10_abs_ratio_error,mean_log10_abs_ratio_error,pearson,spearman,lag_positive_coverage,lag_median_log10_error,hold_median_log10_error,oracle_observability_snr_median
run,42,1,2,dp_sgd,0.1,conv1,2,12.888421312850564,12.888421312850564,-1264.360372274712,-1264.360372274712,1.0,0.0,,,,1.0,0.9999999999999999,0.0,,1.145521358962099,0.00286848078070425
run,42,1,2,dp_sgd,0.1,conv2,2,4.294214996164708,4.294214996164708,3255.1673001537715,3255.1673001537715,0.0,1.0,514.2671065736009,2.180013351167612,2.180013351167612,1.0,0.9999999999999999,1.0,3.474970525965406,3.474970525965406,0.00197410132587855
run,42,1,2,dp_sgd,0.1,fc1,2,0.1138756173025141,0.1138756173025141,136.16767080517664,136.16767080517664,0.0,1.0,866.0431154926466,2.8944766556564234,2.8944766556564234,1.0,0.9999999999999999,1.0,4.359155762714389,4.359155762714389,0.0005643105215449
run,42,1,2,dp_sgd,0.1,fc2,2,0.16825070477215884,0.16825070477215884,51.55910171733073,51.55910171733073,0.0,1.0,204.84080559122265,2.239986263625715,2.239986263625715,1.0,0.9999999999999999,1.0,3.982459225999376,3.982459225999376,0.0029819930453058503
run,42,1,2,dp_fisher_wiener,0.1,conv1,2,1.4418504029683863,1.4418504029683863,-3185.7172974579717,-3185.7172974579717,1.0,0.0,,,,-1.0,-0.9999999999999999,0.0,,0.2147619972934938,0.00012332779334245
run,42,1,2,dp_fisher_wiener,0.1,conv2,2,2.470604488392433,2.470604488392433,3351.293567957328,3351.293567957328,0.0,1.0,1504.8970394543237,2.7341420672846475,2.7341420672846475,-1.0,-0.9999999999999999,1.0,3.3715221032076887,3.3715221032076887,0.00049730630376145
run,42,1,2,dp_fisher_wiener,0.1,fc1,2,0.30024103347192876,0.30024103347192876,181.1771006006159,181.1771006006159,0.0,1.0,635.6296906757398,2.7280911762072386,2.7280911762072386,-1.0,-0.9999999999999999,1.0,2.909354195691929,2.909354195691929,0.0008276654642293999
run,42,1,2,dp_fisher_wiener,0.1,fc2,2,0.2423066514010072,0.2423066514010072,85.5089098855263,85.5089098855263,0.0,1.0,381.0895643044542,2.5471738549009038,2.5471738549009038,-1.0,-0.9999999999999999,1.0,2.5495662065650992,2.5495662065650992,0.0014408576231456
run,42,1,2,dp_fisher_wiener,0.8,conv1,2,3.316431400009134,3.316431400009134,-3148.8983048449813,-3148.8983048449813,1.0,0.0,,,,-0.9999999999999999,-0.9999999999999999,0.0,,0.7385723477116557,0.0002836849047884936
run,42,1,2,dp_fisher_wiener,0.8,conv2,2,5.099907900841839,5.099907900841839,3356.6894016271704,3356.6894016271704,0.0,1.0,1569.9264718701725,2.517218220864625,2.517218220864625,-1.0,-0.9999999999999999,1.0,2.8981738070303664,2.8981738070303664,0.0010236491823216501
