step,layer,M_syn,M_stale,refresh_seconds,preconditioner_state_bytes,A_old_diag,A_new_diag,delta_stale_diag,S_old_full,S_new_full,delta_stale_full,seed,method,config_fingerprint
0,conv1,2560,512,0.18291765358299017,10069164,,0.47947122654863283,,,1.3536463086395578,,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,conv2,2560,512,0.18291765358299017,10069164,,3.0667290056744716,,,0.6311351713473952,,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,fc1,2560,512,0.18291765358299017,10069164,,12.37139958869437,,,0.393239727157201,,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,fc2,2560,512,0.18291765358299017,10069164,,8.461604884008851,,,1.529600426717617,,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,conv1,2560,512,0.17455756571143866,10069164,0.43577669781403605,0.4362012442417258,-0.0004245464276897426,1.3905209331400468,1.3898642244667256,0.0006567086733211269,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,conv2,2560,512,0.17455756571143866,10069164,2.924931112454039,2.926686644375013,-0.0017555319209741072,0.6719160986132571,0.670040231669135,0.0018758669441221176,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,fc1,2560,512,0.17455756571143866,10069164,12.476201448373011,12.462755618074445,0.013445830298566719,0.4216732079018879,0.4029957348903812,0.018677473011506684,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,fc2,2560,512,0.17455756571143866,10069164,8.352877751670839,9.49242962277474,-1.139551871103901,1.5893216206623406,1.5280333868140457,0.06128823384829496,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,conv1,2560,512,0.17688237130641937,10069164,0.639085690864877,0.6395294116008206,-0.00044372073594356465,1.4506249082833853,1.4513507279513946,-0.000725819668009331,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,conv2,2560,512,0.17688237130641937,10069164,2.871303938326338,2.8560270122796063,0.015276926046731809,0.8165980875479238,0.8141857678272241,0.0024123197206997737,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,fc1,2560,512,0.17688237130641937,10069164,12.66792593958995,12.614802382259175,0.05312355733077467,0.5400930503239549,0.4987193882714429,0.04137366205251203,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,fc2,2560,512,0.17688237130641937,10069164,9.5483701077215,9.6924709113126,-0.1441008035911011,1.5993478808642703,1.4886578015176037,0.11069007934666653,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
150,conv1,2560,512,0.18213859386742115,10069164,0.7271484846709071,0.7269427266286974,0.00020575804220968053,1.54198235240899,1.5413578241992296,0.0006245282097603333,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
150,conv2,2560,512,0.18213859386742115,10069164,2.8446059033148545,2.8347273094261003,0.009878593888754228,0.8903666090288254,0.8860833528612897,0.004283256167535665,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
150,fc1,2560,512,0.18213859386742115,10069164,12.85644791243138,12.764560427735036,0.09188748469634334,0.5825569561782467,0.5371841032515263,0.04537285292672033,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
150,fc2,2560,512,0.18213859386742115,10069164,9.837780540334673,7.622727047218966,2.2150534931157075,1.6119945219734673,1.448501488551567,0.16349303342190025,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
200,conv1,2560,512,0.17592570092529058,10069164,0.8362922631023165,0.8350303939386541,0.0012618691636624435,1.569305990861705,1.5700699097046638,-0.0007639188429586774,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
200,conv2,2560,512,0.17592570092529058,10069164,3.074014144448851,3.06554187188064,0.008472272568210926,0.9019672728431061,0.8975245852234663,0.004442687619639729,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
200,fc1,2560,512,0.17592570092529058,10069164,12.700159917034078,12.830706550466864,-0.13054663343278605,0.5800556504787222,0.5526700013312249,0.027385649147497304,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
200,fc2,2560,512,0.17592570092529058,10069164,6.574600596373179,5.383338574440992,1.1912620219321868,1.5577597037219757,1.376917457324728,0.18084224639724766,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
250,conv1,2560,512,0.1759477462619543,10069164,0.8899539678859655,0.8909657252228115,-0.0010117573368459976,1.6707850646988442,1.670169431492641,0.000615633206203281,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
250,conv2,2560,512,0.1759477462619543,10069164,2.965797866603057,2.9742181416613738,-0.008420275058316662,0.9840178468000669,0.9745535869334296,0.009464259866637237,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
250,fc1,2560,512,0.1759477462619543,10069164,6.056639088315921,5.64327331206722,0.4133657762487015,0.603836726306124,0.5648229498932147,0.03901377641290926,91,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
