seed,run_id,method,learning_rate,layer,source_interval,target_interval,beta_dp_previous_raw,beta_oracle_current,lag_prediction_positive,lag_ratio,lag_log10_abs_ratio_error
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,0,1,0.01973069504919988,0.1347536862374256,True,0.14642044755967507,0.8343982699836121
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,1,2,0.09132132418518712,0.1696054002087332,True,0.5384340597221436,0.26886747575004327
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,2,3,0.17337707851368492,0.1904391296502908,True,0.9104067994432791,0.040764507375114674
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,3,4,0.13272911590123063,0.22746493037801524,True,0.5835146353358877,0.23394824678929305
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,4,5,0.19000843676985113,0.26440445246565103,True,0.7186279769420119,0.1434958792618695
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,5,6,0.3106173001188061,0.31370701802222006,True,0.9901509442699331,0.00429859402212725
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,6,7,0.39375204015870074,0.3572356977341616,True,1.1022191865374915,0.04226796660129675
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,7,8,0.38260177382869537,0.45038739931345045,True,0.8494948446868533,0.07083925238156975
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,8,9,0.40164776794478213,0.5670701760326908,True,0.7082858258474656,0.14979144917693907
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,9,10,0.5383904769868715,0.7542750782320272,True,0.713785318545622,0.14643238905084757
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,10,11,0.8039047961120303,0.94959391293908,True,0.8465774529070762,0.07233330237327235
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,11,12,1.0751795769039074,1.2334587080780137,True,0.8716786138542585,0.0596436090550831
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,12,13,1.1393293385128636,1.4212500830725454,True,0.8016388896525456,0.09602122217565921
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,13,14,1.2901719559627138,1.5715358024295745,True,0.8209624966660793,0.08567668193414373
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,14,15,1.6150874401902453,1.6256558054389187,True,0.993499014235784,0.0028325594672730884
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,15,16,1.4461393735047938,1.5391210051669644,True,0.939587835296885,0.027062614603708252
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,16,17,1.5414078865034038,1.3492571575493326,True,1.1424122361545046,0.05782284610044813
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,17,18,1.3166557998921717,1.0837309674301545,True,1.2149286487718909,0.08455077311576821
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,18,19,1.0569786651910233,0.7826251315705796,True,1.3505554863410385,0.1305124314829048
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,19,20,0.8745162682664251,0.6268029735933532,True,1.3952012117188506,0.14463684476924166
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,20,21,0.6390536509139033,0.4641180580389969,True,1.376920462035131,0.13890885391203447
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,21,22,0.4450700387146896,0.37253415738827594,True,1.19470934379532,0.07726226031375566
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv1,22,23,0.2573354889660444,0.28271509444192167,True,0.9102290398537918,0.040849312922054626
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,0,1,0.11998955215571218,0.09463797144621852,True,1.2678795870418738,0.10307800972359361
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,1,2,0.08381851691072731,0.09092272647896242,True,0.9218654142550502,0.035332478201030415
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,2,3,0.07931950625192892,0.08386241970238277,True,0.9458289724220207,0.024187386905181386
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,3,4,0.09221430515338964,0.07934631543782567,True,1.1621750127218837,0.06527153367919351
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,4,5,0.12888748212593482,0.07982121815702597,True,1.6147020191095638,0.20809238834102808
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,5,6,0.08289491429590633,0.08239778238737819,True,1.0060333166029998,0.0026123634010704667
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,6,7,0.023030653811397468,0.0814401303224845,True,0.2827924479025425,0.5485321927465912
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,7,8,0.13145043243327884,0.08977841198719175,True,1.4641652656100916,0.1655900998724188
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,8,9,0.09997985701952443,0.09478070351686467,True,1.054854556990439,0.023192583376957666
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,9,10,0.12370126452290255,0.10838008854931745,True,1.1413652284165954,0.05742463767428135
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,10,11,0.059758147339441986,0.11596179287402701,True,0.5153261764791716,0.2879177965807975
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,11,12,0.06051247811238556,0.1296455550406179,True,0.466753203327542,0.33091269280534075
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,12,13,0.11751782923137657,0.12905646793314174,True,0.9105923253087725,0.040676014350798824
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,13,14,0.11307728486258761,0.12351728938289497,True,0.9154773831868664,0.03835238044854525
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,14,15,0.12765354218718528,0.113333217011164,True,1.1263559400648677,0.05167565372901177
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,15,16,0.1403206402109703,0.09688639152027897,True,1.448300819229089,0.16085877633805407
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,16,17,0.09500308661710383,0.07754630350203195,True,1.225114316565901,0.08817661501678176
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,17,18,0.059990686661242486,0.05798049637527611,True,1.0346701117036927,0.014801903895560126
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,18,19,0.07444433398601799,0.0392401611492517,True,1.8971464898644441,0.2781008666206035
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,19,20,0.02863695471005617,0.029705913269645858,True,0.9640152938613076,0.015916076069279757
91,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,conv2,20,21,0.09526893545226327,0.02087125794267812,True,4.564599590207485,0.6594026869326849
