seed,accuracy_auc,final_accuracy,late_mean_accuracy,final_test_loss,T80,T85,T90
123,-0.1200719626168224,-0.1211000000000001,-0.11390000000000011,0.5092056336402891,900.0,,
456,-0.1419551401869159,-0.1018,-0.1268285714285715,0.35406956770420084,,,
789,-0.12267570093457936,-0.09849999999999992,-0.12209999999999999,0.35733805789947515,,,
1024,-0.17470467289719627,-0.1519999999999999,-0.1512,0.7981355009794235,,,
2027,-0.12978037383177576,-0.11110000000000009,-0.12005714285714275,0.3820301416397095,,,
