seed,run_id,status,divergence_stage,accuracy_auc,final_accuracy,late_mean_accuracy,final_test_loss,T80,T85,T90
123,dp_sgd_lr0p50,completed,,0.9114579439252336,0.9276,0.9235857142857142,0.4707062748551369,100.0,100.0,400.0
123,dp_fisher_wiener_beta1_gamma_lr0p50,completed,,0.8612855140186916,0.8998,0.8902428571428571,0.6597411257743836,200.0,400.0,
123,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,completed,,0.7412135514018692,0.7787,0.776342857142857,1.1689467594146727,1100.0,,
456,dp_sgd_lr0p50,completed,,0.9130971962616822,0.9331,0.9244428571428571,0.40794067273139956,100.0,100.0,300.0
456,dp_fisher_wiener_beta1_gamma_lr0p50,completed,,0.8408088785046729,0.9003,0.8848571428571429,0.6478910108327866,300.0,500.0,1170.0
456,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,completed,,0.698853738317757,0.7985,0.7580285714285714,1.0019605785369874,,,
789,dp_sgd_lr0p50,completed,,0.8990990654205606,0.9219,0.9122142857142858,0.5158685510292649,100.0,200.0,500.0
789,dp_fisher_wiener_beta1_gamma_lr0p50,completed,,0.8470906542056075,0.8984,0.8841142857142856,0.6864873548507691,300.0,500.0,
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,completed,,0.7244149532710281,0.7999,0.7620142857142856,1.0438254127502442,,,
1024,dp_sgd_lr0p50,completed,,0.9071228971962618,0.9234,0.9194571428571428,0.5103596717230976,100.0,100.0,500.0
1024,dp_fisher_wiener_beta1_gamma_lr0p50,completed,,0.8553004672897196,0.8975,0.8891571428571429,0.6857366223573684,300.0,400.0,
1024,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,completed,,0.6805957943925234,0.7455,0.7379571428571429,1.483872123336792,,,
2027,dp_sgd_lr0p50,completed,,0.9107705607476636,0.9287,0.9244714285714286,0.43184168028235437,100.0,100.0,300.0
2027,dp_fisher_wiener_beta1_gamma_lr0p50,completed,,0.8591827102803739,0.8987,0.8925142857142857,0.5987219413757324,300.0,400.0,1100.0
2027,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,completed,,0.7294023364485981,0.7876,0.772457142857143,0.9807520830154419,,,
