method,seed,step,G_diag_new,G_full_new,G_diag_conv,G_diag_fc,G_full_conv,G_full_fc,diag_deep_gap,full_deep_gap,diag_fc_over_conv,full_fc_over_conv
dp_kfc,7,0,0.8489331917747607,0.8047781064413525,0.6387426583023452,1.1282909552531393,0.7865781384201185,0.8233991881699154,0.5689576902513022,0.0457490562744326,1.7664249296452488,1.046811687169127
dp_kfc,7,50,0.8190280028532134,0.8062979522121044,0.6241801353619176,1.0747007657793697,0.7821182284847902,0.8312252087525356,0.5433585392241789,0.06089485102985434,1.7217798274791736,1.0627871573366614
dp_kfc,7,100,0.8354392540567293,0.8148967297653119,0.6318034645455743,1.1047086418256225,0.8024782196145426,0.8275074188320883,0.5587585346639566,0.03071335859840771,1.7485004496140044,1.031189879807041
dp_kfc,7,150,0.7984261573326911,0.8700362496819026,0.6449509608255638,0.9884229459818792,0.8627031234405579,0.8774317087687076,0.4269364049465434,0.016928500929720897,1.5325551956952774,1.0170725999801769
dp_kfc,7,200,0.6706998415796848,0.9229627968145387,0.6333292061036769,0.7102755931034311,0.9290231990076951,0.9169419291290049,0.11466269423485204,-0.013089567285099121,1.1214950870071796,0.986995728533373
dp_kfc,7,250,0.6151850062959422,1.032758442909166,0.6219071146529249,0.6085355562824618,0.9717333839567087,1.0976158882771105,-0.021735404837410988,0.12181426184449808,0.9784991069318679,1.1295442828235795
dp_kfc,7,300,0.5547650836674187,0.9875443936605584,0.6227871423948119,0.49417253039789455,0.9807163566976506,0.9944199694336924,-0.23132008687730127,0.013876341033438749,0.7934854411053609,1.0139730643243126
dp_kfc,7,350,0.5464755724276291,1.0209171665623333,0.6276141422193726,0.4758266762505833,1.0068034977348335,1.0352286849684458,-0.27687189201770074,0.027841895587574855,0.7581516161633362,1.0282331033787278
dp_kfc,7,400,0.5660240439337315,1.0236953246917178,0.6238536149190889,0.5135551203829237,1.0003401083415715,1.0475958217181196,-0.1945583832470419,0.04615779469313225,0.8231981158745544,1.0472396467786258
dp_kfc,7,450,0.57789783145908,1.0300886879366289,0.6180690816185794,0.5403375019674631,1.0135435018370442,1.0469039593187632,-0.13440628579648556,0.032384589907911855,0.8742348032560449,1.032914677486712
dp_kfc,7,500,0.5555736829858684,1.0262854106169503,0.6235872718826508,0.4949782189982985,1.005227445169378,1.047784507980411,-0.2309749666906426,0.04146411309226988,0.7937593362095523,1.0423357549732064
dp_kfc,7,550,0.5923615937160236,1.034437233596511,0.6303782894661085,0.5566375993167079,1.0205522178062763,1.0485111605077366,-0.12440570006892387,0.027027344760625932,0.8830215263094571,1.0273958962742342
dp_kfc,7,600,0.5642124478727993,1.02788913352045,0.6276531406770831,0.507184088955901,1.0036365894603714,1.0527277322337396,-0.21311365784276382,0.047754642781487666,0.8080642891530412,1.0489132653082758
dp_kfc,7,650,0.5360792824151244,1.028871333845575,0.6161219541169406,0.46643524892178956,1.0179435360292894,1.0399164434388766,-0.2783257126301602,0.02135591607841848,0.7570502005407515,1.0215855856753089
dp_kfc,7,700,0.5296088964580348,1.036989905431428,0.6181503747941433,0.4537497583834757,1.0345514008178411,1.0394341577582225,-0.3091858996778922,0.004708582411661812,0.7340442987429776,1.004719685205125
dp_kfc,7,750,0.5454794996666185,1.0319983496143634,0.6119210706690666,0.486252065533892,1.0263035836936996,1.0377247147220576,-0.22987616189181193,0.011066948651861044,0.7946320021342462,1.0111284138629362
dp_kfc,7,800,0.5458833802686186,1.0383688474537314,0.6050696129270885,0.492486580861236,1.0275008746200196,1.0493517718523828,-0.20587630084236463,0.021043094784015823,0.8139337529755954,1.0212660619295764
dp_kfc,7,850,0.5256779502792768,1.037650619923245,0.6010348726712393,0.45976917475964124,1.0388194634772434,1.0364830915113876,-0.267928387721618,-0.002251597433151613,0.7649625598532132,0.9977509355109354
dp_kfc,7,900,0.5376162288644857,1.044697213467458,0.6100772426650083,0.47376166381144186,1.0499043361629452,1.0395159161027479,-0.2528812001944529,-0.009943912097697037,0.7765601315366275,0.9901053651248231
dp_kfc,7,950,0.5396510137478134,1.040611195295526,0.604245526742234,0.48196172540847965,1.0433865443186616,1.0378432285433639,-0.22611591353303429,-0.005326974422498194,0.7976256407009868,0.994687188745646
dp_kfc,7,1000,0.5253536973875768,1.0358024469729412,0.6002584404238277,0.4597961290872032,1.0402256576372237,1.0313980445282378,-0.26657710291105685,-0.008522461420527129,0.765996940855263,0.9915137518055102
dp_kfc,7,1050,0.47419287316229364,1.0391898702650728,0.5982385706715102,0.3758682438437758,1.0370486187906827,1.0413355428994677,-0.4647509553324167,0.004125252941464978,0.6282915583692166,1.0041337735098514
