pair,metric,seed,delta,mean,std,n
dp_kfc - syn_diag,final_accuracy,42,0.043099999999999916,,,
dp_kfc - syn_diag,final_accuracy,7,0.040200000000000014,,,
dp_kfc - syn_diag,final_accuracy,91,0.04599999999999993,,,
dp_kfc - syn_diag,final_accuracy,all,,0.04309999999999995,0.002899999999999958,3.0
dp_kfc - syn_diag,late_mean_accuracy,42,0.04841428571428574,,,
dp_kfc - syn_diag,late_mean_accuracy,7,0.04689999999999994,,,
dp_kfc - syn_diag,late_mean_accuracy,91,0.054885714285714315,,,
dp_kfc - syn_diag,late_mean_accuracy,all,,0.05006666666666667,0.004241542204447472,3.0
dp_kfc - syn_diag,early_G_full,42,-0.18669499500154085,,,
dp_kfc - syn_diag,early_G_full,7,-0.1706899279248768,,,
dp_kfc - syn_diag,early_G_full,91,-0.24833430769680476,,,
dp_kfc - syn_diag,early_G_full,all,,-0.2019064102077408,0.04099637535165032,3.0
dp_kfc - syn_diag,late_G_full,42,0.05016665726943481,,,
dp_kfc - syn_diag,late_G_full,7,0.0500605688710376,,,
dp_kfc - syn_diag,late_G_full,91,0.027123740113381478,,,
dp_kfc - syn_diag,late_G_full,all,,0.042450322084617964,0.013273315331063377,3.0
dp_kfc - syn_diag,early_G_diag,42,-0.08957532256522138,,,
dp_kfc - syn_diag,early_G_diag,7,-0.13209433090230072,,,
dp_kfc - syn_diag,early_G_diag,91,-0.2771851079703468,,,
dp_kfc - syn_diag,early_G_diag,all,,-0.16628492047928964,0.09836719578526106,3.0
dp_kfc - syn_diag,late_G_diag,42,-0.22987771733833462,,,
dp_kfc - syn_diag,late_G_diag,7,-0.21357734624945457,,,
dp_kfc - syn_diag,late_G_diag,91,-0.41424972368564994,,,
dp_kfc - syn_diag,late_G_diag,all,,-0.28590159575781304,0.11145114167806487,3.0
dp_kfc - syn_diag,early_G_diag_fc,42,-0.4777867681869348,,,
dp_kfc - syn_diag,early_G_diag_fc,7,-0.23959541748836477,,,
dp_kfc - syn_diag,early_G_diag_fc,91,-0.613019995228629,,,
dp_kfc - syn_diag,early_G_diag_fc,all,,-0.4434673936346429,0.1890630673012819,3.0
dp_kfc - syn_diag,mid_G_diag_fc,42,-0.7012940574234096,,,
dp_kfc - syn_diag,mid_G_diag_fc,7,-0.6440734218724183,,,
dp_kfc - syn_diag,mid_G_diag_fc,91,-0.7584374517345785,,,
dp_kfc - syn_diag,mid_G_diag_fc,all,,-0.7012683103434688,0.05718201927846167,3.0
dp_kfc - syn_diag,late_G_diag_fc,42,-0.6721134948847465,,,
dp_kfc - syn_diag,late_G_diag_fc,7,-0.6298905161818245,,,
dp_kfc - syn_diag,late_G_diag_fc,91,-0.7885318169908357,,,
dp_kfc - syn_diag,late_G_diag_fc,all,,-0.6968452760191356,0.08216149541697311,3.0
dp_kfc - syn_diag,early_G_diag_conv,42,0.14931911008448262,,,
dp_kfc - syn_diag,early_G_diag_conv,7,-0.05497355645882629,,,
dp_kfc - syn_diag,early_G_diag_conv,91,-0.022667441071259065,,,
dp_kfc - syn_diag,early_G_diag_conv,all,,0.02389270418479909,0.1098169328725895,3.0
dp_kfc - syn_diag,mid_G_diag_conv,42,0.23505737311633634,,,
dp_kfc - syn_diag,mid_G_diag_conv,7,0.05722987393581136,,,
dp_kfc - syn_diag,mid_G_diag_conv,91,0.1270953363399041,,,
dp_kfc - syn_diag,mid_G_diag_conv,all,,0.13979419446401728,0.08959129764905835,3.0
dp_kfc - syn_diag,late_G_diag_conv,42,0.20464411913047098,,,
dp_kfc - syn_diag,late_G_diag_conv,7,0.09404364799019771,,,
dp_kfc - syn_diag,late_G_diag_conv,91,0.04397425832387891,,,
dp_kfc - syn_diag,late_G_diag_conv,all,,0.11422067514818253,0.08221335269652345,3.0
dp_kfc - syn_diag,early_diag_fc_over_conv,42,-0.9780742655086154,,,
dp_kfc - syn_diag,early_diag_fc_over_conv,7,-0.1876941057282151,,,
dp_kfc - syn_diag,early_diag_fc_over_conv,91,-0.7556093344983249,,,
dp_kfc - syn_diag,early_diag_fc_over_conv,all,,-0.6404592352450518,0.40757803947483695,3.0
dp_kfc - syn_diag,mid_diag_fc_over_conv,42,-1.42030177892253,,,
dp_kfc - syn_diag,mid_diag_fc_over_conv,7,-1.2262442852851656,,,
dp_kfc - syn_diag,mid_diag_fc_over_conv,91,-1.0801815521078533,,,
dp_kfc - syn_diag,mid_diag_fc_over_conv,all,,-1.2422425387718496,0.17062356302130413,3.0
dp_kfc - syn_diag,late_diag_fc_over_conv,42,-1.292389434056474,,,
dp_kfc - syn_diag,late_diag_fc_over_conv,7,-1.390364794833445,,,
dp_kfc - syn_diag,late_diag_fc_over_conv,91,-1.0508927350374657,,,
dp_kfc - syn_diag,late_diag_fc_over_conv,all,,-1.244548987975795,0.17471934940478118,3.0
dp_kfc - syn_diag,early_contrib_mass,42,-1.1423253454267979e-09,,,
dp_kfc - syn_diag,early_contrib_mass,7,1.7462298274040222e-10,,,
dp_kfc - syn_diag,early_contrib_mass,91,1.0186340659856796e-09,,,
dp_kfc - syn_diag,early_contrib_mass,all,,1.697723443309466e-11,1.0890709485210635e-09,3.0
dp_kfc - syn_diag,late_contrib_mass,42,-0.04486459254985686,,,
dp_kfc - syn_diag,late_contrib_mass,7,-0.041858388285618386,,,
dp_kfc - syn_diag,late_contrib_mass,91,-0.03309092344716191,,,
dp_kfc - syn_diag,late_contrib_mass,all,,-0.039937968094212385,0.006117256845891655,3.0
dp_kfc - syn_diag,early_nearzero_mass_deficit,42,0.0,,,
dp_kfc - syn_diag,early_nearzero_mass_deficit,7,-1.7462298274040222e-10,,,
dp_kfc - syn_diag,early_nearzero_mass_deficit,91,0.0,,,
dp_kfc - syn_diag,early_nearzero_mass_deficit,all,,-5.820766091346741e-11,1.0081862609186659e-10,3.0
dp_kfc - syn_diag,late_nearzero_mass_deficit,42,0.04486459254985686,,,
dp_kfc - syn_diag,late_nearzero_mass_deficit,7,0.041858388285618386,,,
dp_kfc - syn_diag,late_nearzero_mass_deficit,91,0.03309092344716191,,,
dp_kfc - syn_diag,late_nearzero_mass_deficit,all,,0.039937968094212385,0.006117256845891655,3.0
dp_kfc - syn_diag,early_alpha_negative_fraction,42,0.0,,,
dp_kfc - syn_diag,early_alpha_negative_fraction,7,0.0,,,
dp_kfc - syn_diag,early_alpha_negative_fraction,91,0.0,,,
dp_kfc - syn_diag,early_alpha_negative_fraction,all,,0.0,0.0,3.0
dp_kfc - syn_diag,late_alpha_negative_fraction,42,-0.03247863247863248,,,
dp_kfc - syn_diag,late_alpha_negative_fraction,7,-0.05128205128205128,,,
dp_kfc - syn_diag,late_alpha_negative_fraction,91,-0.017094017094017096,,,
dp_kfc - syn_diag,late_alpha_negative_fraction,all,,-0.03361823361823362,0.017122483420303952,3.0
dp_kfc - syn_diag,early_fc_share,42,0.007523411950746572,,,
dp_kfc - syn_diag,early_fc_share,7,0.0031109633800504577,,,
dp_kfc - syn_diag,early_fc_share,91,0.0022767646903033567,,,
dp_kfc - syn_diag,early_fc_share,all,,0.004303713340366795,0.0028193645063657596,3.0
dp_kfc - syn_diag,mid_fc_share,42,-0.02323245887270453,,,
dp_kfc - syn_diag,mid_fc_share,7,-0.018614167785250157,,,
dp_kfc - syn_diag,mid_fc_share,91,-0.0147351237774207,,,
dp_kfc - syn_diag,mid_fc_share,all,,-0.018860583478458464,0.004254023560205099,3.0
dp_kfc - syn_diag,late_fc_share,42,-0.051089634684081564,,,
dp_kfc - syn_diag,late_fc_share,7,-0.04403903631726047,,,
dp_kfc - syn_diag,late_fc_share,91,-0.030698458062748957,,,
dp_kfc - syn_diag,late_fc_share,all,,-0.041942376354697,0.010356013144524194,3.0
dp_kfc - syn_diag,early_layer_entropy,42,0.2926493080762168,,,
dp_kfc - syn_diag,early_layer_entropy,7,0.23116494352832395,,,
dp_kfc - syn_diag,early_layer_entropy,91,0.27868863812304767,,,
dp_kfc - syn_diag,early_layer_entropy,all,,0.2675009632425295,0.03223282213658431,3.0
dp_kfc - syn_diag,mid_layer_entropy,42,0.3322161706904824,,,
dp_kfc - syn_diag,mid_layer_entropy,7,0.3575875431764586,,,
dp_kfc - syn_diag,mid_layer_entropy,91,0.3516419113672763,,,
dp_kfc - syn_diag,mid_layer_entropy,all,,0.3471485417447391,0.013269115018685005,3.0
dp_kfc - syn_diag,late_layer_entropy,42,0.3089734721590498,,,
dp_kfc - syn_diag,late_layer_entropy,7,0.31981948169462243,,,
dp_kfc - syn_diag,late_layer_entropy,91,0.30925938325481894,,,
dp_kfc - syn_diag,late_layer_entropy,all,,0.31268411236949706,0.006181064458742206,3.0
dp_kfc - syn_diag,late_coefficient_cv,42,-0.19553311484683267,,,
dp_kfc - syn_diag,late_coefficient_cv,7,-0.21902952410622922,,,
dp_kfc - syn_diag,late_coefficient_cv,91,-0.18635987074824123,,,
dp_kfc - syn_diag,late_coefficient_cv,all,,-0.2003075032337677,0.016850004480259022,3.0
dp_kfc - syn_diag,late_alpha_over_mean_coeff,42,-0.0008209879520696024,,,
dp_kfc - syn_diag,late_alpha_over_mean_coeff,7,-0.000748089224342604,,,
dp_kfc - syn_diag,late_alpha_over_mean_coeff,91,-0.001208377592137783,,,
dp_kfc - syn_diag,late_alpha_over_mean_coeff,all,,-0.0009258182561833299,0.00024740329399043973,3.0
dp_kfc - syn_diag,late_aggregate_cosine,42,-0.0072862944300349786,,,
dp_kfc - syn_diag,late_aggregate_cosine,7,-0.00917429385475732,,,
dp_kfc - syn_diag,late_aggregate_cosine,91,-0.06346419348048493,,,
dp_kfc - syn_diag,late_aggregate_cosine,all,,-0.026641593921759077,0.03190327591570568,3.0
dp_kfc - syn_diag,late_shape_error,42,0.00377765520734219,,,
dp_kfc - syn_diag,late_shape_error,7,0.007457890929969957,,,
dp_kfc - syn_diag,late_shape_error,91,0.03487815935270311,,,
dp_kfc - syn_diag,late_shape_error,all,,0.015371235163338418,0.016993413495844274,3.0
dp_kfc - syn_diag,late_clipped_aggregate_norm,42,-0.004285142744289601,,,
dp_kfc - syn_diag,late_clipped_aggregate_norm,7,-0.0062815895720681955,,,
dp_kfc - syn_diag,late_clipped_aggregate_norm,91,-0.0030914349680141034,,,
dp_kfc - syn_diag,late_clipped_aggregate_norm,all,,-0.004552722428123966,0.0016118221877249844,3.0
dp_kfc - syn_diag,late_diagnostic_snr,42,-0.0022577914063514996,,,
dp_kfc - syn_diag,late_diagnostic_snr,7,-0.0033096958025359002,,,
dp_kfc - syn_diag,late_diagnostic_snr,91,-0.0016288407926149003,,,
dp_kfc - syn_diag,late_diagnostic_snr,all,,-0.0023987760005007666,0.0008492501886574453,3.0
dp_kfc - dp_sgd,final_accuracy,42,0.0474,,,
dp_kfc - dp_sgd,final_accuracy,7,0.047699999999999965,,,
dp_kfc - dp_sgd,final_accuracy,91,0.05179999999999996,,,
dp_kfc - dp_sgd,final_accuracy,all,,0.04896666666666664,0.0024583192089989575,3.0
dp_kfc - dp_sgd,late_mean_accuracy,42,0.04859999999999998,,,
dp_kfc - dp_sgd,late_mean_accuracy,7,0.049942857142856956,,,
dp_kfc - dp_sgd,late_mean_accuracy,91,0.051757142857142724,,,
dp_kfc - dp_sgd,late_mean_accuracy,all,,0.05009999999999989,0.0015844267617233527,3.0
dp_kfc - dp_sgd,early_G_full,42,-0.21039107709689664,,,
dp_kfc - dp_sgd,early_G_full,7,-0.1851032702346881,,,
dp_kfc - dp_sgd,early_G_full,91,-0.1921619062675013,,,
dp_kfc - dp_sgd,early_G_full,all,,-0.19588541786636202,0.01304862820166274,3.0
dp_kfc - dp_sgd,late_G_full,42,0.04090749590266496,,,
dp_kfc - dp_sgd,late_G_full,7,0.03732026267733657,,,
dp_kfc - dp_sgd,late_G_full,91,0.03549539128090773,,,
dp_kfc - dp_sgd,late_G_full,all,,0.03790771662030309,0.0027534606789532466,3.0
dp_kfc - dp_sgd,early_G_diag,42,-0.17762736735256668,,,
dp_kfc - dp_sgd,early_G_diag,7,-0.18097199714678658,,,
dp_kfc - dp_sgd,early_G_diag,91,-0.22979004713369366,,,
dp_kfc - dp_sgd,early_G_diag,all,,-0.1961298038776823,0.029198555086775945,3.0
dp_kfc - dp_sgd,late_G_diag,42,-0.44150324595813184,,,
dp_kfc - dp_sgd,late_G_diag,7,-0.46136637869385044,,,
dp_kfc - dp_sgd,late_G_diag,91,-0.49086483363754396,,,
dp_kfc - dp_sgd,late_G_diag,all,,-0.4645781527631754,0.024837032915836863,3.0
dp_kfc - dp_sgd,early_G_diag_fc,42,-0.19225282210228167,,,
dp_kfc - dp_sgd,early_G_diag_fc,7,0.07470076577936968,,,
dp_kfc - dp_sgd,early_G_diag_fc,91,-0.3026823239105605,,,
dp_kfc - dp_sgd,early_G_diag_fc,all,,-0.14007812674449083,0.1940261534503485,3.0
dp_kfc - dp_sgd,mid_G_diag_fc,42,-0.5444814677638529,,,
dp_kfc - dp_sgd,mid_G_diag_fc,7,-0.4864448796170763,,,
dp_kfc - dp_sgd,mid_G_diag_fc,91,-0.5927494394429033,,,
dp_kfc - dp_sgd,mid_G_diag_fc,all,,-0.5412252622746108,0.05322703275199393,3.0
dp_kfc - dp_sgd,late_G_diag_fc,42,-0.6074445248223546,,,
dp_kfc - dp_sgd,late_G_diag_fc,7,-0.5221383053900392,,,
dp_kfc - dp_sgd,late_G_diag_fc,91,-0.6801124301320387,,,
dp_kfc - dp_sgd,late_G_diag_fc,all,,-0.6032317534481442,0.07907127546706659,3.0
dp_kfc - dp_sgd,early_G_diag_conv,42,-0.15664264624975677,,,
dp_kfc - dp_sgd,early_G_diag_conv,7,-0.36667079389632307,,,
dp_kfc - dp_sgd,early_G_diag_conv,91,-0.15472533946736566,,,
dp_kfc - dp_sgd,early_G_diag_conv,all,,-0.22601292653781516,0.12181705854972509,3.0
dp_kfc - dp_sgd,mid_G_diag_conv,42,-0.1793363748378668,,,
dp_kfc - dp_sgd,mid_G_diag_conv,7,-0.37641272811734916,,,
dp_kfc - dp_sgd,mid_G_diag_conv,91,-0.10172871782908255,,,
dp_kfc - dp_sgd,mid_G_diag_conv,all,,-0.21915927359476617,0.1416058749701538,3.0
dp_kfc - dp_sgd,late_G_diag_conv,42,-0.20667673323306845,,,
dp_kfc - dp_sgd,late_G_diag_conv,7,-0.3943168870291075,,,
dp_kfc - dp_sgd,late_G_diag_conv,91,-0.1865673877247227,,,
dp_kfc - dp_sgd,late_G_diag_conv,all,,-0.2625203359956329,0.114581170322322,3.0
dp_kfc - dp_sgd,early_diag_fc_over_conv,42,-0.042224302301003824,,,
dp_kfc - dp_sgd,early_diag_fc_over_conv,7,0.7217798274791736,,,
dp_kfc - dp_sgd,early_diag_fc_over_conv,91,-0.19049737303469405,,,
dp_kfc - dp_sgd,early_diag_fc_over_conv,all,,0.16301938404782523,0.48954688308056593,3.0
dp_kfc - dp_sgd,mid_diag_fc_over_conv,42,-0.4516327886954141,,,
dp_kfc - dp_sgd,mid_diag_fc_over_conv,7,-0.17680188412544562,,,
dp_kfc - dp_sgd,mid_diag_fc_over_conv,91,-0.5474287818916134,,,
dp_kfc - dp_sgd,mid_diag_fc_over_conv,all,,-0.3919544849041577,0.19238554855938234,3.0
dp_kfc - dp_sgd,late_diag_fc_over_conv,42,-0.5117166146209446,,,
dp_kfc - dp_sgd,late_diag_fc_over_conv,7,-0.21440393316456308,,,
dp_kfc - dp_sgd,late_diag_fc_over_conv,91,-0.6143837945463563,,,
dp_kfc - dp_sgd,late_diag_fc_over_conv,all,,-0.44683478077728794,0.20773351113851737,3.0
dp_kfc - dp_sgd,early_contrib_mass,42,-2.7430360205471516e-09,,,
