method,window,metric,mean,std,n
dp_kfc,all,G_diag_conv,0.7555390007276971,0.11839531984575855,3
dp_kfc,all,G_diag_fc,0.4135175117651098,0.0762910124439763,3
dp_kfc,all,G_diag_new,0.5577187442606024,0.011766223423141492,3
dp_kfc,all,G_full_conv,1.0186190824927042,0.003452917226671107,3
dp_kfc,all,G_full_fc,1.0388191998540346,0.0026995945851244134,3
dp_kfc,all,G_full_new,1.032160331741458,0.003401223706959752,3
dp_kfc,all,aggregate_cosine,0.4555964798642647,0.002167994303839352,3
dp_kfc,all,alpha_negative,0.0,0.0,3
dp_kfc,all,alpha_negative_fraction,0.0034188034188034192,0.0030816677568068288,3
dp_kfc,all,alpha_over_mean_coeff,0.0002681523668209602,1.8195040332905406e-05,3
dp_kfc,all,clipped_aggregate_norm,0.06316060784101575,0.00274340883792044,3
dp_kfc,all,clipping_alpha_star,0.00013630838941128333,4.192480248918657e-06,3
dp_kfc,all,clipping_shape_error,0.8901841564228737,0.0011114024799297561,3
dp_kfc,all,coefficient_cv,0.7402070686965216,0.04742882263594177,3
dp_kfc,all,coefficient_mean,0.4952697455883026,0.03090697609724933,3
dp_kfc,all,contrib_conv1,0.005314442367913783,0.0015274145278981483,3
dp_kfc,all,contrib_conv2,0.04718687199056145,0.006057898881180378,3
dp_kfc,all,contrib_fc1,0.7304490407307943,0.027347467440370334,3
dp_kfc,all,contrib_fc2,0.19099882245063782,0.005371797638245214,3
dp_kfc,all,contrib_mass,0.9999999612433991,5.67460004023815e-09,3
dp_kfc,all,conv_share,0.052823312618760464,0.007952745761832851,3
dp_kfc,all,diag_deep_gap,-0.589377476239166,0.34597469978951706,3
dp_kfc,all,diag_fc_over_conv,0.5778322198881872,0.20694092655253254,3
dp_kfc,all,diag_log_auc,-0.5191486841097336,0.021676259118919208,3
dp_kfc,all,diagnostic_snr,0.03327858279480078,0.0014454699103360613,3
dp_kfc,all,fc2_to_fc1,0.2533848395950628,0.012573265765821282,3
dp_kfc,all,fc_share,0.9471766873812394,0.007952745761832851,3
dp_kfc,all,fc_to_conv,18.247658524361402,3.15603140018602,3
dp_kfc,all,full_beneficial_fraction,0.2638888888888889,0.024056261216234418,3
dp_kfc,all,full_deep_gap,0.02338222961438824,0.004937793325622113,3
dp_kfc,all,full_fc_over_conv,1.023666941504068,0.005057392674219455,3
dp_kfc,all,full_log_auc,-0.013820380863736081,0.001720384596381655,3
dp_kfc,all,layer_entropy,0.5076492997419918,0.030658070404207514,3
dp_kfc,all,layer_hhi,0.6101825225120329,0.02219763659870464,3
dp_kfc,all,nearzero_mass_deficit,3.8756601002572687e-08,5.67460009532857e-09,3
dp_kfc,all,norm_cv,2.4263791758254123,0.1515706751063997,3
dp_kfc,all,norm_mean,942.112645393067,82.54986365701477,3
dp_kfc,all,relative_distortion,0.9998637310847219,4.18373039869268e-06,3
dp_kfc,all,share_conv1,0.005314442279604435,0.001527414465688758,3
dp_kfc,all,share_conv2,0.0475037693437265,0.0063392978975603444,3
dp_kfc,all,share_fc1,0.7558579374085554,0.016467433915602913,3
dp_kfc,all,share_fc2,0.19161206527507738,0.005921251932174651,3
dp_kfc,early,G_diag_conv,0.7739870734621848,0.12181705854972509,3
dp_kfc,early,G_diag_fc,0.8599218732555092,0.1940261534503485,3
dp_kfc,early,G_diag_new,0.8038701961223177,0.029198555086775945,3
dp_kfc,early,G_full_conv,0.7740285023153382,0.026137794028270142,3
dp_kfc,early,G_full_fc,0.8406149465771504,0.008995894908335104,3
dp_kfc,early,G_full_new,0.8041145821336381,0.01304862820166274,3
dp_kfc,early,aggregate_cosine,0.977014075520624,0.008901350384663968,3
dp_kfc,early,alpha_negative,0.0,0.0,3
dp_kfc,early,alpha_negative_fraction,0.0,0.0,3
dp_kfc,early,alpha_over_mean_coeff,0.9520578636591575,0.016936740034561016,3
dp_kfc,early,clipped_aggregate_norm,0.13519674243957577,0.0043598417749501125,3
dp_kfc,early,clipping_alpha_star,0.00042798616800748335,3.6565603311516976e-05,3
dp_kfc,early,clipping_shape_error,0.20998732101589254,0.04406416088637474,3
dp_kfc,early,coefficient_cv,0.17896373660773246,0.04262258239980474,3
