method,early_G_full_mean,early_G_full_std,early_G_full_n,late_G_full_mean,late_G_full_std,late_G_full_n,early_G_diag_mean,early_G_diag_std,early_G_diag_n,late_G_diag_mean,late_G_diag_std,late_G_diag_n,early_G_diag_conv_mean,early_G_diag_conv_std,early_G_diag_conv_n,early_G_diag_fc_mean,early_G_diag_fc_std,early_G_diag_fc_n,late_G_diag_conv_mean,late_G_diag_conv_std,late_G_diag_conv_n,late_G_diag_fc_mean,late_G_diag_fc_std,late_G_diag_fc_n,early_diag_fc_over_conv_mean,early_diag_fc_over_conv_std,early_diag_fc_over_conv_n,late_diag_fc_over_conv_mean,late_diag_fc_over_conv_std,late_diag_fc_over_conv_n,early_contrib_mass_mean,early_contrib_mass_std,early_contrib_mass_n,late_contrib_mass_mean,late_contrib_mass_std,late_contrib_mass_n,early_nearzero_mass_deficit_mean,early_nearzero_mass_deficit_std,early_nearzero_mass_deficit_n,late_nearzero_mass_deficit_mean,late_nearzero_mass_deficit_std,late_nearzero_mass_deficit_n,early_fc_share_mean,early_fc_share_std,early_fc_share_n,late_fc_share_mean,late_fc_share_std,late_fc_share_n,early_alpha_negative_fraction_mean,early_alpha_negative_fraction_std,early_alpha_negative_fraction_n,late_alpha_negative_fraction_mean,late_alpha_negative_fraction_std,late_alpha_negative_fraction_n,early_layer_entropy_mean,early_layer_entropy_std,early_layer_entropy_n,late_layer_entropy_mean,late_layer_entropy_std,late_layer_entropy_n,late_norm_cv_mean,late_norm_cv_std,late_norm_cv_n,late_coefficient_cv_mean,late_coefficient_cv_std,late_coefficient_cv_n,late_alpha_star_mean,late_alpha_star_std,late_alpha_star_n,late_alpha_over_mean_coeff_mean,late_alpha_over_mean_coeff_std,late_alpha_over_mean_coeff_n,late_aggregate_cosine_mean,late_aggregate_cosine_std,late_aggregate_cosine_n,late_shape_error_mean,late_shape_error_std,late_shape_error_n,late_clipped_aggregate_norm_mean,late_clipped_aggregate_norm_std,late_clipped_aggregate_norm_n,late_snr_mean,late_snr_std,late_snr_n,final_accuracy_mean,final_accuracy_std,final_accuracy_n,late_mean_accuracy_mean,late_mean_accuracy_std,late_mean_accuracy_n
dp_sgd,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0000000034924597,1.066964169784415e-09,3,0.9954222600596644,0.0014380954882909159,3,0.0,0.0,3,0.0045777399403355385,0.001438095488290916,3,0.9704892813087415,0.0040982559847779505,3,0.9889699046070947,0.00022959332769813273,3,0.006666666666666667,0.007637626158259732,3,0.007407407407407408,0.006003221511597002,3,0.45887132982908435,0.004718823994274433,3,0.4810542138995036,0.0035774702835976633,3,2.1532126608888738,0.044580775950680454,3,0.6549778851534965,0.016959861631149892,3,0.0070001787437231336,0.00018235574213194174,3,0.0106098937087518,0.00035058708131330144,3,0.6270529726871797,0.007886894857400767,3,0.778932854650909,0.006329528635590098,3,0.043185469240169035,0.0008769479060142698,3,0.02275391676500017,0.00046205355671185357,3,0.8971666666666667,0.0038109491381194674,3,0.8857285714285714,0.0039640990947064835,3
syn_diag,1.006020992341379,0.0436796885246428,3,0.995457394535685,0.011318706224269047,3,0.9701551166016072,0.06970053602827994,3,0.8213234429946376,0.09021836832488095,3,0.7500943692773858,0.10209941207835922,3,1.3033892668901519,0.01558931733638052,3,0.6232589888561846,0.13234224171294662,3,1.0936135225709913,0.02506893737114524,3,1.8034786192928773,0.20685241456931766,3,1.797714207198507,0.37002039485147414,3,1.0000000003395446,3.191130275655784e-09,3,0.9980106189614162,0.0017939174479222834,3,1.0865430222217753e-09,1.8819477190975545e-09,3,0.0019893810385838893,0.0017939174479222834,3,0.9808387508623287,0.0023338280687022505,3,0.9775953950385915,0.002453238878941511,3,0.0,0.0,3,0.03361823361823362,0.017122483420303952,3,0.26883700659223775,0.04012226199713332,3,0.18873946723258506,0.03503412196966793,3,2.264317440545,0.1222025363538579,3,0.8346074621007694,0.012788633856327503,3,0.0006174947508170666,0.00011280962832688364,3,0.001127128577662809,0.0002485302459942994,3,0.4819615671342697,0.027037042992133314,3,0.874943844619995,0.014602987363498557,3,0.048624168599441964,0.0001947432253811866,3,0.02561950360955963,0.00010260791925696807,3,0.9030333333333335,0.004771093515467201,3,0.8857619047619046,0.00703861554878067,3
dp_kfc,0.8041145821336381,0.01304862820166274,3,1.037907716620303,0.0027534606789532466,3,0.8038701961223177,0.029198555086775945,3,0.5354218472368246,0.024837032915836863,3,0.7739870734621848,0.12181705854972509,3,0.8599218732555092,0.1940261534503485,3,0.7374796640043672,0.114581170322322,3,0.39676824655185583,0.07907127546706655,3,1.1630193840478253,0.4895468830805659,3,0.553165219222712,0.2077335111385174,3,1.000000000356522,3.006714104547678e-09,3,0.9580726508672037,0.007910362116499118,3,1.028335361308308e-09,1.781129093005688e-09,3,0.04192734913279628,0.007910362116499118,3,0.9851424642026957,0.0019204916497286449,3,0.9356530186838944,0.007902845997727146,3,0.0,0.0,3,0.0,0.0,3,0.5363379698347672,0.008241827193685314,3,0.5014235796020821,0.03839580546468607,3,3.0725248981482234,0.09092843420145201,3,0.6342999588670017,0.028336070873958067,3,0.00013681196330956667,3.5848001332287983e-06,3,0.00020131032147947925,5.553831369203774e-06,3,0.4553199732125106,0.005207217776188058,3,0.8903150797833335,0.0026562915368285827,3,0.044071446171318,0.0017471520646982763,3,0.023220727609058866,0.0009205539121238435,3,0.9461333333333334,0.002050203241957601,3,0.9358285714285713,0.0034533922985010763,3
