method,seed,window,metric,median,q25,q75,iqr,n
dp_kfc,7,early,contrib_conv1,0.00042089156340805,0.000213808620173875,0.000697525581927,0.00048371696175312503,200
dp_kfc,7,early,contrib_conv2,0.0165945291519165,0.01430914923548695,0.02160235773772,0.007293208502233049,200
dp_kfc,7,early,contrib_fc1,0.5947077572345734,0.5770220309495926,0.6489614248275757,0.0719393938779831,200
dp_kfc,7,early,contrib_fc2,0.38101887702941895,0.3370691612362861,0.40385831892490387,0.06678915768861776,200
dp_kfc,7,early,contrib_mass,0.999999996914994,0.999999980413122,1.000000021254891,4.084176896679281e-08,200
dp_kfc,7,early,nearzero_mass_deficit,3.085006083924924e-09,0.0,1.9586878008404085e-08,1.9586878008404085e-08,200
dp_kfc,7,early,share_conv1,0.00042089155655698773,0.00021380861691095462,0.0006975255932612215,0.00048371697635026683,200
dp_kfc,7,early,share_conv2,0.016594529474439842,0.01430914919241516,0.021602357545900296,0.007293208353485136,200
dp_kfc,7,early,share_fc1,0.5947077338254698,0.577022028076249,0.6489614117493655,0.07193938367311647,200
dp_kfc,7,early,share_fc2,0.3810188729988069,0.33706916336252474,0.40385832221105655,0.06678915884853182,200
dp_kfc,7,early,conv_share,0.017015005675001048,0.014521214653100446,0.022261844548546492,0.007740629895446046,200
dp_kfc,7,early,fc_share,0.982984994324999,0.9777381554514535,0.9854787853468995,0.007740629895445994,200
dp_kfc,7,early,fc_to_conv,57.8046917947034,43.9382486526591,67.89149325538193,23.953244602722833,200
dp_kfc,7,early,fc2_to_fc1,0.6403997674358171,0.5195784678584932,0.7005599846960284,0.18098151683753527,200
dp_kfc,7,early,layer_hhi,0.5016540630153488,0.4953146094841182,0.5347056252088069,0.03939101572468873,200
dp_kfc,7,early,layer_entropy,0.5457971308075342,0.5123920230888144,0.5545080389009138,0.04211601581209945,200
dp_kfc,7,early,coefficient_mean,0.00054466695291915,0.00042634733836165,0.000694055794156125,0.00026770845579447504,200
dp_kfc,7,early,coefficient_cv,0.2121159761861044,0.19087568782765996,0.6394556104207655,0.44857992259310553,200
dp_kfc,7,early,clipping_alpha_star,0.00041936142226575,0.000336394242150975,0.0005613760226803001,0.00022498178052932506,200
dp_kfc,7,early,alpha_over_mean_coeff,0.9405184774440212,0.7365895161239129,0.9665905032054036,0.23000098708149075,200
dp_kfc,7,early,alpha_negative,0.0,0.0,0.0,0.0,200
dp_kfc,7,early,aggregate_cosine,0.9708509869888984,0.8545918865446596,0.9803992949002092,0.1258074083555496,200
dp_kfc,7,early,clipping_shape_error,0.23968219461807624,0.19702070509473824,0.5192927525083351,0.32227204741359683,200
dp_kfc,7,early,relative_distortion,0.9995806424913127,0.9994386305315224,0.9996636224860667,0.00022499195454428467,200
dp_kfc,7,early,clipped_aggregate_norm,0.1395765018951661,0.13375537810509053,0.14473195328082308,0.010976575175732556,200
dp_kfc,7,early,diagnostic_snr,0.0735412202843085,0.07047413849664688,0.0762575670967713,0.005783428600124416,200
dp_kfc,7,early,norm_mean,2379.6718668341637,1749.945911347866,2608.318060040474,858.3721486926079,200
dp_kfc,7,early,norm_cv,0.1887551460268104,0.17177648958140396,0.32889688110852644,0.15712039152712248,200
dp_kfc,7,mid,contrib_conv1,0.0045717535540461,0.0027910671196877,0.0058922301977872,0.0031011630780995,385
dp_kfc,7,mid,contrib_conv2,0.0471831820905208,0.0402075387537479,0.0502122975885868,0.010004758834838902,385
dp_kfc,7,mid,contrib_fc1,0.7210207581520081,0.6654052734375,0.7440489530563354,0.07864367961883545,385
dp_kfc,7,mid,contrib_fc2,0.2269162833690643,0.1996799111366272,0.2947575151920318,0.09507760405540461,385
dp_kfc,7,mid,contrib_mass,0.9999999972060323,0.9999999739229678,1.0000000178115442,4.388857643977673e-08,385
dp_kfc,7,mid,nearzero_mass_deficit,2.7939677238464355e-09,0.0,2.60770322002557e-08,2.60770322002557e-08,385
dp_kfc,7,mid,share_conv1,0.004571753473148334,0.002791067167776302,0.005892230340463946,0.0031011631726876442,385
dp_kfc,7,mid,share_conv2,0.04718318318908991,0.04020753651633826,0.050212295273776526,0.010004758757438267,385
dp_kfc,7,mid,share_fc1,0.7210207500939733,0.6654052799444231,0.7440489184088579,0.07864363846443478,385
dp_kfc,7,mid,share_fc2,0.22691628125574176,0.19967992220162917,0.294757514505746,0.09507759230411683,385
dp_kfc,7,mid,conv_share,0.05188396551092589,0.042969518511156664,0.05613092203352915,0.013161403522372488,385
dp_kfc,7,mid,fc_share,0.9481160344890741,0.9438690779664709,0.9570304814888432,0.013161403522372273,385
dp_kfc,7,mid,fc_to_conv,18.27377736328082,16.8154921343684,22.27231103876778,5.456818904399377,385
dp_kfc,7,mid,fc2_to_fc1,0.3144003003624917,0.267751027714248,0.4432641097859072,0.17551308207165917,385
dp_kfc,7,mid,layer_hhi,0.5740561569987811,0.5320947806415044,0.5959037898255176,0.06380900918401322,385
dp_kfc,7,mid,layer_entropy,0.5348827071688493,0.5222806748838369,0.5534926934924969,0.031212018608659964,385
