method,seed,window,alpha_negative_count,alpha_negative_fraction,negative_aggregate_cosine_median,negative_clipping_shape_error_median,negative_norm_cv_median,negative_coefficient_cv_median
dp_kfc,7,early,0,0.0,,,,
dp_kfc,7,mid,5,0.012987012987012988,-0.0358448292287907,0.9993573676080928,1.70056805079893,1.7785498324358404
dp_kfc,7,late,0,0.0,,,,
dp_kfc,7,all,5,0.004273504273504274,-0.0358448292287907,0.9993573676080928,1.70056805079893,1.7785498324358404
dp_kfc,42,early,0,0.0,,,,
dp_kfc,42,mid,0,0.0,,,,
dp_kfc,42,late,0,0.0,,,,
dp_kfc,42,all,0,0.0,,,,
dp_kfc,91,early,0,0.0,,,,
dp_kfc,91,mid,7,0.01818181818181818,-0.0461224181482688,0.9989357949962074,1.7691988368587672,1.5036754957807053
dp_kfc,91,late,0,0.0,,,,
dp_kfc,91,all,7,0.005982905982905983,-0.0461224181482688,0.9989357949962074,1.7691988368587672,1.5036754957807053
dp_sgd,7,early,3,0.015,-0.0226666124898015,0.9997430793258016,0.7739041817002342,1.4386535667699976
dp_sgd,7,mid,7,0.01818181818181818,-0.0485213042793109,0.9988221478367094,1.2990346336603482,1.0674778484263514
dp_sgd,7,late,1,0.0017094017094017094,-0.0171248600916478,0.9998533588045266,2.0913923937836536,0.6634089340772266
dp_sgd,7,all,11,0.009401709401709401,-0.0226666124898015,0.9997430793258016,1.2202499493974932,1.0758827694345554
dp_sgd,42,early,1,0.005,-0.1223385768006544,0.9924884244188222,0.9047033153413742,1.39248997731487
dp_sgd,42,mid,16,0.04155844155844156,-0.120020248835819,0.9926967646638882,1.3721940441177605,0.9904537591444313
dp_sgd,42,late,4,0.006837606837606838,-0.133508073837456,0.9910472558852879,2.040146901514487,0.6803010941157561
dp_sgd,42,all,21,0.017948717948717947,-0.1321089661334253,0.9912351996473808,1.4778805579199965,0.9722834819530196
dp_sgd,91,early,0,0.0,,,,
dp_sgd,91,mid,13,0.033766233766233764,-0.0559355923069423,0.998434379155983,1.2803790688569945,1.0709050223438394
dp_sgd,91,late,8,0.013675213675213675,-0.08294482599922415,0.996510572023655,2.2115228377829155,0.6453519182103831
dp_sgd,91,all,21,0.017948717948717947,-0.0736583756750059,0.9972835322120652,1.439123319192802,0.9676042486118952
syn_diag,7,early,0,0.0,,,,
syn_diag,7,mid,71,0.18441558441558442,-0.1252068478267034,0.9921306593580862,1.2762104112796882,2.111658562353963
syn_diag,7,late,30,0.05128205128205128,-0.1417698236561579,0.989887923554811,2.5798114993161017,0.9861156269745694
syn_diag,7,all,101,0.08632478632478632,-0.1333944423172765,0.9910630266151128,1.4523329964234315,1.5665844762900074
syn_diag,42,early,0,0.0,,,,
syn_diag,42,mid,34,0.08831168831168831,-0.07464897741444229,0.9971784534285297,1.4472096318113228,1.4920860920508658
syn_diag,42,late,19,0.03247863247863248,-0.0672063439684372,0.9977390978023724,2.612184838725388,0.9351144878329808
syn_diag,42,all,53,0.0452991452991453,-0.0672063439684372,0.9977390978023724,1.8822839619583356,1.2465442481238886
syn_diag,91,early,0,0.0,,,,
syn_diag,91,mid,47,0.12207792207792208,-0.0794779216387614,0.9968366265066662,1.3945987683171277,1.517078802517602
syn_diag,91,late,10,0.017094017094017096,-0.0448821017048332,0.9989645853101029,2.082476499926777,0.8845434160190702
syn_diag,91,all,57,0.04871794871794872,-0.069604116922212,0.9975746923634932,1.4878541854055378,1.356890551663675
