seed,run_id,method,learning_rate,layer,source_interval,target_interval,beta_dp_previous_raw,beta_oracle_current,lag_prediction_positive,lag_ratio,lag_log10_abs_ratio_error
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,0,1,1.0180643203682336,3.5571394580406657,True,0.2862030944744014,0.5433256748882914
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,1,2,3.2357499187152716,2.9335424654672777,True,1.1030179234851663,0.042582569563907935
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,2,3,3.0200604121809853,1.3653395354783062,True,2.2119482617362256,0.3447749644476494
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,3,4,1.2217877269361164,0.7361290670727085,True,1.6597466145368753,0.2200417914690088
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,4,5,0.7884468769062059,0.4265529571004565,True,1.8484149829033316,0.26679948017011873
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,5,6,0.3815414880299736,0.27166324880317805,True,1.4044648649048703,0.14751087905286986
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,6,7,0.06864132449034523,0.17886694271817324,True,0.38375634674148834,0.415944428890618
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,7,8,0.09042750949651181,0.13980388919158354,True,0.6468168376388467,0.18921868326399635
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,8,9,0.019502755392219642,0.09785692474446256,True,0.19929867450002048,0.7004955897051379
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,9,10,0.07080758314090596,0.08776952016702852,True,0.8067445624193526,0.09326395312483653
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,10,11,0.008935097269780652,0.064959870136128,True,0.1375479546227005,0.8615458633090425
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,11,12,0.14011560642445559,0.0530344749058399,True,2.6419721638278486,0.42192823751785413
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,12,13,-0.06680578494594434,0.04391533876402985,False,,
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,13,14,0.07618910513198253,0.036144216353028474,True,2.1079196845167942,0.32385405946476653
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,14,15,-0.02726162553074173,0.03071062947593489,False,,
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,15,16,0.06582603601480852,0.026112668320519724,True,2.5208467861969295,0.40154645062238453
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,16,17,0.05310988733669835,0.022282256864714516,True,2.383505748953173,0.37721620377119114
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,17,18,0.15544561705010465,0.019089839653185343,True,8.142845611810412,0.9107762006562243
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,18,19,0.07489075487836211,0.017274360222839066,True,4.335370683039613,0.6370262364641655
42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,19,20,0.047955809012668424,0.0142073447730974,True,3.3754237528940734,0.5283283022014904
