seed,run_id,layer,step,interval_index,beta_train,gamma_model,sum_a,sum_a_H2,mean_H2,model_signal_retention,gamma_model_raw,model_noise_retention_after_raw
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,conv1,0,0,1.0,3.0752360148597715,0.0005027069196086983,5.3156693519981274e-05,0.03387503811856407,0.10574092268584223,3.0752360148597715,0.3203588285228726
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,conv2,0,0,1.0,1.5373340425597584,0.0035902210426532475,0.0015190941788120235,0.006318278902442384,0.42311995856650136,1.5373340425597584,0.01493259482215927
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,fc1,0,0,1.0,1.1810777701735875,0.046098594516109016,0.0330468975168733,0.0007561690546817587,0.7168742965759002,1.1810777701735875,0.0010548140145260434
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,fc2,0,0,1.0,2.197700274985658,0.0001628889638934998,3.3725215683284824e-05,0.0017016762023362047,0.20704420285548059,2.197700274985658,0.008218902914775141
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,conv1,50,1,0.27093885010047253,8.225450666645575,0.000136196845747127,2.013017941779102e-06,0.004552900153042778,0.014780209708502485,8.225450666645575,0.30804029461257704
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,conv2,50,1,0.23614531610940429,2.3549282951169386,0.0010366848674533055,0.0001869353275833051,0.002274625199378408,0.18032030123341708,2.3549282951169386,0.012614360023911017
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,fc1,50,1,0.23547997339536167,1.1291207971268666,0.0643885943301487,0.050504273793086966,0.0010099836451700898,0.7843667705204015,1.1291207971268666,0.0012876420612515226
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,fc2,50,1,6.611750936595756,1.0449186324608117,0.008383091419678978,0.0076778435006169,0.009376968538746554,0.9158725720911814,1.0449186324608117,0.010238289500619538
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,conv1,100,2,0.40726929612527496,5.866236960578965,0.00020464713203569815,5.946842807670105e-06,0.009018392716406299,0.029059008785096253,5.866236960578965,0.3103475683944058
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,conv2,100,2,0.049941537665882024,4.273834969942528,0.0003536327833143448,1.936052021825014e-05,0.0006220223159308163,0.054747526620122604,4.273834969942528,0.011361651463213142
789,dp_fisher_wiener_adaptive_beta_gamma_lr0p50,fc1,100,2,0.04144876847197775,1.152046938771219,0.060733983173194166,0.04576056903405237,0.0011944541292833444,0.75345904620742,1.152046938771219,0.0015852940319659031
