seed,run_id,method,config_fingerprint,step,epoch,train_loss,learning_rate,test_loss,test_accuracy,clip_rate,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,signal_amplitude_retention,effective_signal_lr,optimizer_update_norm,clean_reference_update_norm,update_to_clean_reference_ratio,lr_compensation_to_dp_sgd_0p5,refresh_time,diagnostic_spectrum_time,beta_observation_time,oracle_diagnostic_time,reconstruction_diagnostic_time,wiener_filter_time,beta_controller_time,active_state_bytes,diagnostics_finite,beta_diagnostics_finite,oracle_diagnostics_finite,oracle_diagnostic_error
7,dp_sgd_lr0p50,dp_sgd,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,0,1,2.308786153793335,0.5,,,1.0,0.1123027231468387,1.899600652919797,1.9031473958402023,1.9031473958402023,286.11725235726686,286.11725235726686,0.06105702994285891,0.06105702994285891,1.0,1.0,0.003495070610673137,0.0034950706104284876,0.0,0.0,1.0,0.5,0.9515736979201012,0.05615136157341935,16.946582794060078,0.49999999999949996,0.11640877183526754,0.0,0.0007451558485627174,0.0005854163318872452,0.0061467597261071205,0.0,0.0,0,True,True,True,
7,dp_sgd_lr0p50,dp_sgd,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,1,1,2.2899506092071533,0.5,,,1.0,0.1108586715274389,1.8977463708636535,1.9008592184931312,1.9008592184931312,293.0468107379725,293.0468107379725,0.05721658025434553,0.05721658025434553,1.0,1.0,0.003412424101801612,0.003412424101392727,0.0,0.0,1.0,0.5,0.9504296092465656,0.05542933576371945,17.14668949454578,0.49999999999949996,0.0,0.0,0.0006053559482097626,0.000544562004506588,0.005511622875928879,0.0,0.0,0,True,True,True,
7,dp_sgd_lr0p50,dp_sgd,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,2,1,2.2572083473205566,0.5,,,1.0,0.12388041755442349,1.9036788934970912,1.9073837162320266,1.9073837162320266,236.14680199142447,236.14680199142447,0.06235131005917095,0.06235131005917095,1.0,1.0,0.004234654001246548,0.0042346540013701575,0.0,0.0,1.0,0.5,0.9536918581160133,0.06194020877721174,15.39697519475405,0.49999999999949996,0.0,0.0,0.0005491878837347031,0.0004722597077488899,0.00642218254506588,0.0,0.0,0,True,True,True,
7,dp_sgd_lr0p50,dp_sgd,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,3,1,2.2347850799560547,0.5,,,1.0,0.10363256550325904,1.8934285701865035,1.8960724858414324,1.8960724858414324,333.81461943202265,333.81461943202265,0.05282283264937815,0.05282283264937815,1.0,1.0,0.0029956746699952327,0.0029956746700223547,0.0,0.0,1.0,0.5,0.9480362429207162,0.05181628275162952,18.29610679420276,0.49999999999949996,0.0,0.0,0.0007637012749910355,0.0006723999977111816,0.006455758586525917,0.0,0.0,0,True,True,True,
7,dp_sgd_lr0p50,dp_sgd,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,4,1,2.2195162773132324,0.5,,,1.0,0.11638920388834531,1.8982049596891786,1.90144713656805,1.90144713656805,265.9872457162322,265.9872457162322,0.05843801508749589,0.05843801508749589,1.0,1.0,0.0037595787618807473,0.0037595787616939392,0.0,0.0,1.0,0.5,0.950723568284025,0.058194601944172655,16.336971755210868,0.49999999999949996,0.0,0.0,0.0007009496912360191,0.0005896389484405518,0.006036926060914993,0.0,0.0,0,True,True,True,
7,dp_sgd_lr0p50,dp_sgd,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,5,1,2.1911916732788086,0.5,,,1.0,0.11522902900844617,1.8961421259619253,1.899597166044343,1.899597166044343,270.78086376037214,270.78086376037214,0.060286702939149214,0.060286702939149214,1.0,1.0,0.003693023155466994,0.0036930231553305493,0.0,0.0,1.0,0.5,0.9497985830221715,0.057614514504223086,16.4854046099107,0.49999999999949996,0.0,0.0,0.0006429767236113548,0.0005876794457435608,0.005736174061894417,0.0,0.0,0,True,True,True,
7,dp_sgd_lr0p50,dp_sgd,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,6,1,2.162248134613037,0.5,,,1.0,0.12018940377523549,1.8960489933365807,1.8996619298138087,1.8996619298138087,248.8666769401807,248.8666769401807,0.0616661913434199,0.0616661913434199,1.0,1.0,0.0040182157459789725,0.004018215746260879,0.0,0.0,1.0,0.5,0.9498309649069043,0.060094701887617744,15.805569127663938,0.49999999999949996,0.0,0.0,0.0005453787744045258,0.0004728790372610092,0.006487180478870869,0.0,0.0,0,True,True,True,
7,dp_sgd_lr0p50,dp_sgd,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,7,1,2.1537797451019287,0.5,,,1.0,0.1208090521081091,1.8979572322256273,1.9015457895747498,1.9015457895747498,246.81633002725277,246.81633002725277,0.06144235778186845,0.06144235778186845,1.0,1.0,0.0040515957749667035,0.004051595775740073,0.0,0.0,1.0,0.5,0.9507728947873749,0.06040452605405455,15.740093613528416,0.49999999999949996,0.0,0.0,0.0007431702688336372,0.000672508031129837,0.006568060256540775,0.0,0.0,0,True,True,True,
7,dp_sgd_lr0p50,dp_sgd,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,8,1,2.094869375228882,0.5,,,1.0,0.11664629017585777,1.901141102400997,1.904616378616343,1.904616378616343,265.6359441282398,265.6359441282398,0.06038809484040126,0.06038809484040126,1.0,1.0,0.003764550777222614,0.003764550777441855,0.0,0.0,1.0,0.5,0.9523081893081715,0.058323145087928886,16.328135045806064,0.49999999999949996,0.0,0.0,0.0006820941343903542,0.0005952678620815277,0.006143262609839439,0.0,0.0,0,True,True,True,
7,dp_sgd_lr0p50,dp_sgd,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,9,1,2.061552047729492,0.5,,,1.0,0.12372851595441739,1.8991393590547971,1.9032116828239702,1.9032116828239702,235.5993354983275,235.5993354983275,0.06538335861826625,0.06538335861826625,1.0,1.0,0.004244494144345749,0.00424449414440293,0.0,0.0,1.0,0.5,0.9516058414119851,0.061864257977208695,15.382158818540788,0.49999999999949996,0.0,0.0,0.0007060589268803596,0.000599471852183342,0.006052245385944843,0.0,0.0,0,True,True,True,
