seed,run_id,method,config_fingerprint,step,epoch,train_loss,learning_rate,test_loss,test_accuracy,clip_rate,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,signal_amplitude_retention,effective_signal_lr,optimizer_update_norm,clean_reference_update_norm,update_to_clean_reference_ratio,lr_compensation_to_dp_sgd_0p5,refresh_time,diagnostic_spectrum_time,beta_observation_time,oracle_diagnostic_time,reconstruction_diagnostic_time,wiener_filter_time,beta_controller_time,active_state_bytes,diagnostics_finite,beta_diagnostics_finite,oracle_diagnostics_finite,oracle_diagnostic_error,gradient_norm_into_adam,adam_first_moment_norm,adam_second_moment_sqrt_norm,adam_normalized_update_norm,parameter_update_norm,filter_gradient_norm_ratio,beta_train,gamma_model_raw
123,dp_adam,dp_sgd,8da6e9aed8559091fcc9a1cdd9b8f76c0d01922f5b057dd49a4cbba39d38743e,0,1,2.332277297973633,0.001,2.307719886302948,0.09375,1.0,0.4543128975535406,310.5751483092235,310.57510866175693,310.57510866175693,467329.57911527884,467329.57911527884,0.0006441367605913076,0.0006441367605913076,1.0,1.0,2.139817475042553e-06,2.139817474707635e-06,0.0,0.0,,,,,,,0.3534381650388241,0.0,0.0007076924666762352,0.0003683948889374733,0.038892291486263275,0.0,0.0,0,True,True,True,,310.5751086617569,31.057511404351168,9.821247512671807,454.886745451022,0.454886774219763,,,
123,dp_adam,dp_sgd,8da6e9aed8559091fcc9a1cdd9b8f76c0d01922f5b057dd49a4cbba39d38743e,1,1,2.264857292175293,0.001,2.306149423122406,0.09375,1.0,0.5483103930691455,311.36719585041135,311.3682486491209,311.3682486491209,322472.552434751,322472.552434751,0.002800560128203561,0.002800560128203561,1.0,1.0,3.101039119287566e-06,3.101039118967309e-06,0.0,0.0,,,,,,,0.0,0.0,0.00039300043135881424,0.00034339074045419693,0.005804046057164669,0.0,0.0,0,True,True,True,,311.3682486491209,41.770354915955025,13.903619598590955,321.8140991011114,0.32181411562230744,,,
123,dp_adam,dp_sgd,8da6e9aed8559091fcc9a1cdd9b8f76c0d01922f5b057dd49a4cbba39d38743e,2,1,2.250699281692505,0.001,2.3049689531326294,0.09375,1.0,0.5760860591812897,311.46311827172553,311.46306979806104,311.46306979806104,292306.53379667376,292306.53379667376,0.0008406632632489255,0.0008406632632489255,1.0,1.0,3.421066190373218e-06,3.4210661900728805e-06,0.0,0.0,,,,,,,0.0096141267567873,0.0,0.0006468119099736214,0.0005776900798082352,0.0047560399398207664,0.0,0.0,0,True,True,True,,311.4630697980611,48.79750650265111,17.033102425986073,263.4935324385517,0.26349353801942776,,,
123,dp_adam,dp_sgd,8da6e9aed8559091fcc9a1cdd9b8f76c0d01922f5b057dd49a4cbba39d38743e,3,1,2.3012442588806152,0.001,2.304112046957016,0.09375,1.0,0.4740874227534566,310.64378004888937,310.644426345462,310.644426345462,429347.0237434831,429347.0237434831,0.002126312895330787,0.002126312895330787,1.0,1.0,2.329118276578549e-06,2.3291182766668306e-06,0.0,0.0,,,,,,,0.0,0.0,0.0003668786957859993,0.000325188972055912,0.005031643435359001,0.0,0.0,0,True,True,True,,310.644426345462,53.832682036344465,19.655442490378572,228.86879604505515,0.2288687991302607,,,
