step,layer,R_diag,A_diag_raw,A_diag_pre,R_full,S_full_raw,S_full_pre,rank_raw,rank_pre,eigen_tolerance_raw,eigen_tolerance_pre,seed,method,config_fingerprint
0,conv1,1.1746270829354573,1.2799857725395318,1.503505954196998,0.9531173283190393,0.8928243830728888,0.8509663906525262,8,8,6.086723176159336e-16,4.348296160059949e-12,42,syn_diag,b0f7784980b0b5e2b5498906499c68746abbc61375b67229b91f45ad077a72c2
0,conv2,0.6569844539431473,3.063490938412708,2.012665921332853,0.9826340675695237,0.8612844613027308,0.8463274535443284,8,8,3.83989821110525e-13,4.055255703183002e-09,42,syn_diag,b0f7784980b0b5e2b5498906499c68746abbc61375b67229b91f45ad077a72c2
0,fc1,1.5477285337621898,8.632328728590384,13.360501486054423,1.1075989694838049,0.9293404920508205,1.0293365712950608,8,8,1.7963281764288027e-10,2.0964443736533264e-05,42,syn_diag,b0f7784980b0b5e2b5498906499c68746abbc61375b67229b91f45ad077a72c2
0,fc2,1.4136226066153061,9.837089137178127,13.905931587604856,0.7801713433478314,1.420416939778527,1.1081685920210291,8,8,1.4557478640821026e-13,3.0293199456265886e-09,42,syn_diag,b0f7784980b0b5e2b5498906499c68746abbc61375b67229b91f45ad077a72c2
2,conv1,1.131984340508438,1.566683267860717,1.7734609257549183,1.0067101716213547,1.4575635387914645,1.4673440402857842,8,8,1.0718417320498782e-12,1.4940360380187073e-11,42,syn_diag,b0f7784980b0b5e2b5498906499c68746abbc61375b67229b91f45ad077a72c2
2,conv2,0.9424006849355047,3.1299148629410873,2.9496339106254967,1.098402082307332,1.5351316373087474,1.686191787035792,8,8,1.169188738010434e-10,2.598910642854308e-07,42,syn_diag,b0f7784980b0b5e2b5498906499c68746abbc61375b67229b91f45ad077a72c2
2,fc1,1.4739990802648526,10.111951178498852,14.905006736790401,0.8387848788016542,1.6381991821790853,1.3740967024770532,8,8,7.682189898483844e-09,0.0007173140478539392,42,syn_diag,b0f7784980b0b5e2b5498906499c68746abbc61375b67229b91f45ad077a72c2
2,fc2,1.3142427006717872,12.143192322437642,15.959101872617357,0.8939895514113855,1.8660235757529406,1.668205579410441,8,8,3.11513410323241e-11,6.801856637584001e-07,42,syn_diag,b0f7784980b0b5e2b5498906499c68746abbc61375b67229b91f45ad077a72c2
