step,layer,M_syn,M_stale,refresh_seconds,preconditioner_state_bytes,A_old_diag,A_new_diag,delta_stale_diag,S_old_full,S_new_full,delta_stale_full
0,conv1,2560,512,0.5104160476475954,827688,,0.1458852254096309,,,2.0330675620859617,
0,conv2,2560,512,0.5104160476475954,827688,,0.9985693273472965,,,1.3956321373866112,
0,fc1,2560,512,0.5104160476475954,827688,,11.965199438491533,,,1.47206847966372,
0,fc2,2560,512,0.5104160476475954,827688,,12.080822511021358,,,1.9784023443708794,
50,conv1,2560,512,0.5412615463137627,827688,0.11845043054353598,0.1209360762284744,-0.00248564568493842,2.0633506854511547,2.062910876792203,0.00043980865895187904
50,conv2,2560,512,0.5412615463137627,827688,1.0661737495477475,1.083439893349704,-0.01726614380195657,1.4092305701287708,1.4101579871834824,-0.0009274170547115546
50,fc1,2560,512,0.5412615463137627,827688,11.96215538700988,11.961838099787213,0.0003172872226659962,1.4927035378939146,1.4937818180798537,-0.001078280185939029
50,fc2,2560,512,0.5412615463137627,827688,12.071660994695934,12.06882177299383,0.0028392217021036004,1.9479355356855788,1.943093556275728,0.00484197940985065
100,conv1,2560,512,0.5410302774980664,827688,0.11447621158483366,0.1278415215557488,-0.013365309970915132,2.0890235697122836,2.0835859078063583,0.005437661905925317
100,conv2,2560,512,0.5410302774980664,827688,1.0268456065067104,1.0194335129453729,0.0074120935613375405,1.4045306881016204,1.4066543540663594,-0.0021236659647390077
100,fc1,2560,512,0.5410302774980664,827688,11.966269005878264,11.96473501778883,0.0015339880894345015,1.4794996677189405,1.4766193037078783,0.0028803640110621753
100,fc2,2560,512,0.5410302774980664,827688,12.078471421846723,12.06094861622482,0.017522805621903004,2.005711746108683,2.0007980338700992,0.004913712238583834
150,conv1,2560,512,0.5347664346918464,827688,0.13058348447698226,0.12751204585191014,0.003071438625072115,2.057539410640692,2.0658954995521217,-0.008356088911429804
150,conv2,2560,512,0.5347664346918464,827688,1.0346372721173158,1.021521327121704,0.01311594499561175,1.382955654555884,1.3812204782878932,0.0017351762679909122
150,fc1,2560,512,0.5347664346918464,827688,11.964286700660063,11.964013981113208,0.00027271954685481603,1.46785430137293,1.4748638283652005,-0.007009526992270532
150,fc2,2560,512,0.5347664346918464,827688,12.059801555916302,12.0688793739586,-0.009077818042298347,2.0132919891563184,2.018493552946924,-0.005201563790605768
200,conv1,2560,512,0.5430394690483809,827688,0.1204469428376831,0.11363753153089548,0.006809411306787624,2.0606050694426257,2.054951710547212,0.005653358895413518
200,conv2,2560,512,0.5430394690483809,827688,0.9779206745487595,0.9885627046615947,-0.010642030112835155,1.3956168979508634,1.3945151065448254,0.0011017914060380551
200,fc1,2560,512,0.5430394690483809,827688,11.969752121586616,11.970813878601554,-0.0010617570149378253,1.4595548435309913,1.4655197621829699,-0.005964918651978568
200,fc2,2560,512,0.5430394690483809,827688,12.080000888763156,12.084007136446163,-0.004006247683006947,1.9466231321388896,1.9458874090015914,0.0007357231372981943
250,conv1,2560,512,0.5329632516950369,827688,0.11576626171395131,0.13689425929399668,-0.02112799758004537,2.0755165196769347,2.0715872652117677,0.003929254465167009
250,conv2,2560,512,0.5329632516950369,827688,1.0514768692221104,1.0642199935501762,-0.012743124328065791,1.4062075391440005,1.40685132237924,-0.0006437832352395034
250,fc1,2560,512,0.5329632516950369,827688,11.964705789233843,11.971267132390615,-0.006561343156771926,1.4911836356293489,1.4956986636760565,-0.00451502804670767
250,fc2,2560,512,0.5329632516950369,827688,12.092262396107527,12.097983305269215,-0.005720909161688326,2.0286774304398163,2.028586332243623,9.109819619324e-05
300,conv1,2560,512,0.5427572755143046,827688,0.1316071747679158,0.12721753071731223,0.004389644050603575,2.0576804668574633,2.0548195684065806,0.002860898450882665
300,conv2,2560,512,0.5427572755143046,827688,1.047103539091248,1.0485577381504916,-0.0014541990592435994,1.406594435287684,1.40769714660492,-0.0011027113172359382
300,fc1,2560,512,0.5427572755143046,827688,11.973342379466082,11.967264502455386,0.0060778770106963975,1.490112552123155,1.4971875613556154,-0.007075009232460294
300,fc2,2560,512,0.5427572755143046,827688,12.097752701878223,12.07851151640759,0.01924118547063358,1.9813721125435668,1.9683460610104007,0.01302605153316616
350,conv1,2560,512,0.516961625777185,827688,0.12212074474987575,0.12041340825808367,0.001707336491792083,2.068416613690955,2.069569079448224,-0.0011524657572690167
350,conv2,2560,512,0.516961625777185,827688,0.9395266628295547,0.9534947018015492,-0.0139680389719945,1.4108478091658971,1.4106771121213906,0.00017069704450656253
350,fc1,2560,512,0.516961625777185,827688,11.971070891953257,11.967546083152817,0.003524808800440482,1.489769323667834,1.4884664079917693,0.0013029156760646643
