method,step,epoch,layer,log_pearson,log_spearman,log_ratio_spread,A_raw,A_residual,R
dp_sgd,0,1,conv1,0.16031116976225188,0.10653052853627096,1.2994822787261526,1.0280663216037844,1.0280663216037844,1.0
dp_sgd,0,1,conv2,0.7752312324421584,0.836033059109445,1.7337019591265879,2.7188579681276126,2.7188579681276126,1.0
dp_sgd,0,1,fc1,0.717078498470318,0.7633442378490183,6.48437272295118,8.670236175638045,8.670236175638045,1.0
dp_sgd,0,1,fc2,0.7944606759206226,0.7937935791233202,4.169168525002583,9.740898564976705,9.740898564976705,1.0
dp_sgd,100,1,conv1,0.7227941481367136,0.7398277276456111,1.3988293001251635,2.0420604801361044,2.0420604801361044,1.0
dp_sgd,100,1,conv2,0.7709426206110129,0.8898051383507865,1.5297372422564854,2.9033701902492193,2.9033701902492193,1.0
dp_sgd,100,1,fc1,0.6142421793547465,0.729458707836679,9.414477945870818,9.631509770509268,9.631509770509268,1.0
dp_sgd,100,1,fc2,0.6890226960369366,0.8137612038397932,6.595221324760811,11.200128167435665,11.200128167435665,1.0
dp_sgd,200,1,conv1,0.8290209363217008,0.8317707722957928,1.3248532096812737,2.203785997706981,2.203785997706981,1.0
dp_sgd,200,1,conv2,0.8169502404819173,0.8985779102284195,1.4924530374494713,2.9514395922312735,2.9514395922312735,1.0
dp_sgd,200,1,fc1,0.6910935489787325,0.7179544247005689,6.382336506728118,10.060458365391778,10.060458365391778,1.0
dp_sgd,200,1,fc2,0.7439688900044382,0.8010886083958614,5.917932026938056,11.83933458631962,11.83933458631962,1.0
dp_sgd,300,2,conv1,0.8436678475616443,0.8419576936599086,1.2937856716121285,2.360196006248827,2.360196006248827,1.0
dp_sgd,300,2,conv2,0.8312482265411528,0.8946132070722889,1.5334405004434517,3.041070413011168,3.041070413011168,1.0
dp_sgd,300,2,fc1,0.6618921137779604,0.7209342622285679,7.270872666173547,10.300018913431249,10.300018913431249,1.0
dp_sgd,300,2,fc2,0.7477737571059904,0.8035788062797801,7.596887438792536,12.1072675590971,12.1072675590971,1.0
dp_sgd,400,2,conv1,0.8481579822654183,0.8408355795148247,1.2250537467764617,2.4126757359004536,2.4126757359004536,1.0
dp_sgd,400,2,conv2,0.8632140451566013,0.897626438286354,1.4436094422640084,3.094596218222867,3.094596218222867,1.0
