seed,run_id,method,learning_rate,fingerprint,status,planned_steps,completed_steps,epsilon_spent,noise_multiplier,sample_rate,final_accuracy,best_accuracy,late_mean_accuracy,accuracy_auc,final_test_loss,T50,T70,T80,T85,T90,prefix_accuracy_auc,prefix_late_mean_accuracy,last_finite_accuracy,best_accuracy_before_divergence,final_model_hash,parameters_finite,wall_time,diagnostic_seconds,research_overhead_seconds,core_training_runtime,total_refresh_time,total_measurement_only_refresh_time,total_beta_controller_time,total_beta_observation_time,total_oracle_diagnostic_time,total_reconstruction_diagnostic_time,total_wiener_filter_time,total_diagnostic_spectrum_time,number_of_refreshes,mean_refresh_time,mean_wiener_filter_time,diagnostics_all_finite,beta_diagnostics_all_finite,beta_diagnostic_nonfinite_steps,active_state_bytes,diverged_step,beta_algorithm_active,filter_position,synthetic_fisher_role,contains_non_dp_oracle,release_safe_under_dp,deployable_beta_controller_is_postprocessing,deployable_beta_estimator_is_postprocessing,oracle_is_research_only,actual_noise_saved,private_fisher_used,oracle_diagnostics_enabled,beta_measurement_enabled,deployable_beta_path_reads_clean_gradient,oracle_path_separate_from_controller,planned_privacy_steps,privacy_steps,beta_observation_steps,divergence_stage,oracle_diagnostics_all_valid,oracle_diagnostic_error_steps,accounted_dp_mechanisms_valid,end_to_end_dp_accounting_complete
42,dp_sgd_lr0p50,dp_sgd,0.5,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,completed,4,4,0.9941875233938002,2.734375,0.25,0.1875,0.1875,0.125,0.078125,1722.8893814086914,,,,,,0.078125,0.125,0.1875,0.1875,4f921bf0be100d4c981c7cb6ac8ee7016e0f42d50d508541509c782a79c2b558,True,0.7716614622622728,0.07336176559329033,0.5760600846260786,0.19560137763619423,0.4994581425562501,0.4994581425562501,0.0,0.0032401764765381813,0.002451016567647457,0.07091074902564287,0.0,0.0,2,0.24972907127812505,0.0,True,True,[],0,,False,after global clipping and DP Gaussian noise,measurement_only_for_dp_sgd,True,False,True,True,True,False,False,True,True,False,True,4,4,4,,True,[],True,True
42,dp_fisher_wiener_adaptive_beta_lr0p50,dp_fisher_wiener_adaptive_beta,0.5,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,completed,4,4,0.9941875233938002,2.734375,0.25,0.0,0.15625,0.0,0.07291666666666667,6.091619789600372,,,,,,0.07291666666666667,0.0,0.0,0.15625,f8ec3950a7a703a6e33bd74d68300be274dcb4b1a5667808d1bca50fe759f592,True,0.501924847252667,0.18016597256064415,0.18016597256064415,0.3217588746920228,0.12698159366846085,0,7.4826180934906e-05,0.00251924991607666,0.002264603041112423,0.05588963069021702,0.006677273660898209,0.12201173882931471,2,0.06349079683423042,0.0016693184152245522,True,True,[],10905008,,True,after global clipping and DP Gaussian noise,training_filter_and_measurement,True,False,True,True,True,False,False,True,True,False,True,4,4,4,,True,[],True,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,completed,4,4,0.9941875233938002,2.734375,0.25,0.0,0.15625,0.0,0.078125,36.38468647003174,,,,,,0.078125,0.0,0.0,0.15625,98af730fac02dbf9cb9a0242836fa1ec387aa3ca923e5fc8cde4caa98868090e,True,0.3492586212232709,0.0702629229053855,0.0702629229053855,0.2789956983178854,0.09559984412044287,0,8.12634825706482e-05,0.0026624035090208054,0.0022926069796085358,0.05904201325029135,0.005503689870238304,0.008928302675485611,2,0.047799922060221434,0.001375922467559576,True,True,[],10905008,,True,after global clipping and DP Gaussian noise,training_filter_and_measurement,True,False,True,True,True,False,False,True,True,False,True,4,4,4,,True,[],True,True
42,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,5.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,completed,4,4,0.9941875233938002,2.734375,0.25,0.0,0.15625,0.0,0.078125,5931.950988769531,,,,,,0.078125,0.0,0.0,0.15625,d66c8b46122913e4baca1586ae0a19021793e8e09ffae74dcf17e5374720974f,True,0.3519821958616376,0.07292505912482738,0.07292505912482738,0.2790571367368102,0.0941362427547574,0,4.70820814371109e-05,0.0028105229139328003,0.0025432733818888664,0.0614287443459034,0.0062171779572963715,0.008953041397035122,2,0.0470681213773787,0.0015542944893240929,True,True,[],10905008,,True,after global clipping and DP Gaussian noise,training_filter_and_measurement,True,False,True,True,True,False,False,True,True,False,True,4,4,4,,True,[],True,True
