seed,run_id,method,learning_rate,config_fingerprint,step,layer,r,dimension,trace_A,trace_G,trace_F,clean_signal_energy,noisy_gradient_energy,expected_noise_energy,noise_debiased_energy_raw,beta_oracle_step,beta_dp_step_raw,beta_dp_step_positive,beta_dp_step_negative,refresh_index,active_beta_train,active_beta_source_interval,diagnostic_valid
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,0,conv1,0.4673004150390625,160,3.1443393230438232,0.00016066929674707353,0.0005051987877676203,0.0007527766473932127,70.80975094975403,74.76806640625,-3.958315456495967,1.4900602804681955,-7835.164201377102,0.0,True,0,1.0,,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,0,conv2,0.4673004150390625,4640,19.259838104248047,0.00033213189453817904,0.0063968065180625144,0.014892179762192112,2167.3324966940304,2168.27392578125,-0.9414290872196034,2.328064749205937,-147.17173085684425,0.0,True,0,1.0,,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,0,fc1,0.4673004150390625,200832,48.28453063964844,0.01228325068950653,0.5930909942719609,0.1782086987973244,93837.91972738883,93848.876953125,-10.957225736172404,0.30047446432074315,-18.474780163578046,0.0,True,0,1.0,,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,0,fc2,0.4673004150390625,1290,1.7126202583312988,0.05615962669253349,0.09618011437395602,0.018611297796849103,628.444628003223,602.8175354003906,25.627092602832363,0.19350463365521567,266.4489720109103,266.4489720109103,False,0,1.0,,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,1,conv1,0.4673004150390625,160,3.1443393230438232,0.00016066929674707353,0.0005051987877676203,0.0003900072694045932,77.34163576649823,74.76806640625,2.5735693602482286,0.7719877379911438,5094.171685605886,5094.171685605886,False,0,1.0,,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,1,conv2,0.4673004150390625,4640,19.259838104248047,0.00033213189453817904,0.0063968065180625144,0.011458757879613014,2251.4909861970214,2168.27392578125,83.21706041577136,1.7913247566980781,13009.157019333517,13009.157019333517,False,0,1.0,,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,1,fc1,0.4673004150390625,200832,48.28453063964844,0.01228325068950653,0.5930909942719609,0.13142178797453669,94176.11474152241,93848.876953125,327.23778839741135,0.2215879000757065,551.7497172573101,551.7497172573101,False,0,1.0,,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,1,fc2,0.4673004150390625,1290,1.7126202583312988,0.05615962669253349,0.09618011437395602,0.035143564624207244,596.9784116609293,602.8175354003906,-5.839123739461343,0.3653932504963161,-60.71030147415255,0.0,True,0,1.0,,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,2,conv1,0.4673004150390625,160,3.148954391479492,0.00016064765804912895,0.0005058721482947004,0.0024358575652288807,51.75483791891998,74.76806640625,-23.013228487330018,4.8151644114825825,-45492.18328170037,0.0,True,1,1.0,0,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,2,conv2,0.4673004150390625,4640,19.331592559814453,0.0003310140746179968,0.006399029222079133,0.04457317142277015,2159.875311645781,2168.27392578125,-8.39861413546896,6.965614607443174,-1312.4825413346268,0.0,True,1,6430.992644238337,0,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,2,fc1,0.4673004150390625,200832,47.05712890625,0.009964065626263618,0.46888032060542173,0.09289379821296084,94177.11012527527,93848.876953125,328.23317215027055,0.19811835585894433,700.0361451008511,700.0361451008511,False,1,266.63746854686605,0,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,2,fc2,0.4673004150390625,1290,10.288947105407715,0.05680650472640991,0.5844791223731249,0.09107658309721772,607.1200571470534,602.8175354003906,4.302521746662819,0.15582521190393428,7.361292443079152,7.361292443079152,False,1,102.8693352683789,0,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,3,conv1,0.4673004150390625,160,3.148954391479492,0.00016064765804912895,0.0005058721482947004,0.027247445722788196,93.09987948317135,74.76806640625,18.33181307692135,53.86231642647175,36238.035912271625,36238.035912271625,False,1,1.0,,True
42,dp_fisher_wiener_adaptive_beta_lr1p00,dp_fisher_wiener_adaptive_beta,1.0,3f06853c6bc50b2d0cc21cd910729b166ce3716e4bda8e0288efd3998606746c,3,conv2,0.4673004150390625,4640,19.331592559814453,0.0003310140746179968,0.006399029222079133,0.044436266216638265,2180.7251127260497,2168.27392578125,12.451186944799701,6.944219923752795,1945.7931059039825,1945.7931059039825,False,1,6430.992644238337,,True
