step,layer,M_syn,M_stale,refresh_seconds,preconditioner_state_bytes,beta2_delta_t,beta2_D_innovation,beta2_D_ema,A_old_diag,A_new_diag,delta_stale_diag,S_old_full,S_new_full,delta_stale_full
0,conv1,2560,512,0.5164382206276059,827688,,,,,0.10328460553519796,,,1.8945630192450449,
0,conv2,2560,512,0.5164382206276059,827688,,,,,1.2059411728560967,,,1.5497767970777263,
0,fc1,2560,512,0.5164382206276059,827688,,,,,11.960497418499402,,,1.2954403295128254,
0,fc2,2560,512,0.5164382206276059,827688,,,,,12.09746923801568,,,1.7157558421580843,
50,conv1,2560,512,0.5050563756376505,827688,50,0.47646189590034843,0.03216342415491839,0.17730914313943572,0.16742329087270189,0.00988585226673383,1.9271592771737265,1.9280389615032179,-0.0008796843294913703
50,conv2,2560,512,0.5050563756376505,827688,50,0.7141931702177106,0.1902607666900355,1.0494893410693305,1.0165750868819798,0.03291425418735061,1.5227711629099856,1.5226882036707243,8.295923926127102e-05
50,fc1,2560,512,0.5050563756376505,827688,50,3.847741285727683,2.079106461044655,12.98728743750632,12.740267727884907,0.24701970962141218,1.2107258192266936,1.0920376259960263,0.11868819323066737
50,fc2,2560,512,0.5050563756376505,827688,50,4.638182489525175,2.868419078102222,14.402973871975805,13.175821439900885,1.22715243207492,3.4302584901379145,2.2283039306255796,1.2019545595123349
100,conv1,2560,512,0.5103222327306867,827688,50,1.1287192608509022,0.11807110717898238,0.5853486569052492,0.5076324276642253,0.07771622924102384,1.8912934731644506,1.914165532229708,-0.022872059065257355
100,conv2,2560,512,0.5103222327306867,827688,50,1.912761127930809,0.872697256874068,1.126840132529374,0.8695031962165424,0.2573369363128316,1.6338808330277264,1.5189078444085304,0.11497298861919591
100,fc1,2560,512,0.5103222327306867,827688,50,3.7223365287919212,1.9642304437157987,13.197972712779208,12.87483413724095,0.323138575538259,1.2111329354806037,1.1383903218011353,0.07274261367946844
100,fc2,2560,512,0.5103222327306867,827688,50,3.5149506766198297,1.190922727081143,13.967234726406222,13.204706704922085,0.7625280214841368,2.7592286332462397,2.254995344212346,0.5042332890338939
150,conv1,2560,512,0.5158486794680357,827688,50,1.7133587927705007,0.2807885308352271,0.7811231630678886,0.5627595756057727,0.21836358746211593,1.9131836268877707,1.9522910891929866,-0.03910746230521589
