seed,method,config_fingerprint,step,layer,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,H_mean,H_std,H_min,H_max,lambdaF_mean,lambdaF_median,H_q10,H_q25,H_q50,H_q75,H_q90,lambdaF_q10,lambdaF_q90,trace_A,trace_G,trace_F,kappa
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv1,0.02743677545545782,8.414774423671854,8.414852996324656,8.14305620969768e-05,94062.99830423968,1.0002647782695713,0.00449401677791516,-0.043122739182236275,3.3990690140017717e-10,9.371738494683163e-11,1.0631172902198439e-05,3.8552767776066756e-05,5.594743512992315,0.9999893660121801,6.7567637842103074e-06,8.316788296927524e-06,9.727551741889329e-07,2.4669068807270378e-05,3.157492168881504e-06,1.0880588661166257e-06,1.336542993612966e-06,1.4257598763833812e-06,2.3283872678803164e-06,5.647487455462397e-06,2.1822841881657932e-05,6.245679429639495e-07,1.0198045765719136e-05,3.1443393230438232,0.00016066929674707353,0.0005051987827755511,1.4900602922426178
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv2,0.1220335190109345,46.553354266192315,46.55461842496435,0.0009956020453453956,145527.0368673731,0.999878762725707,0.01166961927800239,0.011509394605987208,4.087133105853169e-08,4.5773064301508045e-10,6.871575354373537e-06,0.0006135707809646527,19.508082938997834,0.9999931292577362,2.949642273905308e-06,2.308853664802872e-05,1.88441813264717e-08,0.00028217010549269617,1.3786223057256878e-06,6.603989533005006e-08,4.417268435474853e-08,7.157259496182178e-08,1.4132212555750812e-07,3.222417745973871e-07,1.737417881031434e-06,2.0641915376984345e-08,8.118974847093344e-07,19.259838104248047,0.00033213189453817904,0.006396806333214045,2.3280648161160666
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,fc1,0.42214772153515695,306.3290999472629,306.3297565163868,0.24465570940083464,526559.6915709171,1.4532371323850108,0.0022443462243324935,-0.10125005463478826,0.005455327089833289,6.974529206406145e-07,1.8991199212591236e-06,0.014854508521766285,38.93305669167547,0.9999972401284115,5.557345844175057e-06,0.0007880831924475712,1.2825099315882937e-10,0.22269898653030396,2.9531679974141197e-06,9.99998209239017e-11,2.114966562993814e-10,2.135501185607236e-10,2.139947247181695e-10,2.1444812939308555e-10,2.1843701569768116e-10,9.883247761854896e-11,1.0207570760867313e-10,48.28453063964844,0.01228325068950653,0.5930910110473633,0.3004744558214059
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,fc2,0.13642323041494472,25.068343595047605,25.068797897051684,0.07232639339044394,33765.611481000036,0.9353123751929132,0.00605103923761211,0.3260883591064332,0.0005123966081379171,7.824780954532337e-06,2.9615930412187832e-05,0.0019393644852119547,18.16134042890452,0.9999722998537811,0.00015411207158836542,0.0022791230574464726,2.1097437685746456e-10,0.05084105581045151,7.455823577860141e-05,7.78260762501759e-08,2.139657895305902e-10,2.1427293966924665e-10,1.6654396262083537e-07,1.691409678983291e-07,3.3396446781353005e-07,9.998630395857688e-11,1.5606178891403033e-07,1.7126202583312988,0.05615962669253349,0.09618011116981506,0.19350464009961055
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,1,conv1,0.02245368352878223,8.797956381467142,8.793197326625156,9.838562736933977e-05,153528.29031938213,1.0031352993427072,-0.21073044068543875,-0.3555802206087618,3.586145035124635e-10,1.2551855211216465e-10,6.513457525881641e-06,1.8607448129019956e-05,4.558751882044438,0.9999934661208221,6.7567637842103074e-06,8.316788296927524e-06,9.727551741889329e-07,2.4669068807270378e-05,3.157492168881504e-06,1.0880588661166257e-06,1.336542993612966e-06,1.4257598763833812e-06,2.3283872678803164e-06,5.647487455462397e-06,2.1822841881657932e-05,6.245679429639495e-07,1.0198045765719136e-05,3.1443393230438232,0.00016066929674707353,0.0005051987827755511,0.9979594571524093
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,1,conv2,0.11564521728640842,47.44880832630299,47.449274127602514,0.000990228968267149,168343.07904911746,1.0001215190530934,0.005246447187743749,-0.0028145644965232547,3.01333930024016e-08,4.3608436926850866e-10,5.940250146152172e-06,0.0004104703642130732,18.394770009876634,0.9999940590279999,2.949642273905308e-06,2.308853664802872e-05,1.88441813264717e-08,0.00028217010549269617,1.3786223057256878e-06,6.603989533005006e-08,4.417268435474853e-08,7.157259496182178e-08,1.4132212555750812e-07,3.222417745973871e-07,1.737417881031434e-06,2.0641915376984345e-08,8.118974847093344e-07,19.259838104248047,0.00033213189453817904,0.006396806333214045,2.0907020757669716
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,1,fc1,0.3802342553021317,306.88018400295476,306.8810136529897,0.39255140197420313,651381.1881605978,1.5746439717571274,0.0028014556731363774,0.23789014820239973,0.004765725233223331,1.4907705315993985e-06,1.5351993858111445e-06,0.004907756288379382,35.04717917413689,0.9999975826075417,5.557345844175057e-06,0.0007880831924475712,1.2825099315882937e-10,0.22269898653030396,2.9531679974141197e-06,9.99998209239017e-11,2.114966562993814e-10,2.135501185607236e-10,2.139947247181695e-10,2.1444812939308555e-10,2.1843701569768116e-10,9.883247761854896e-11,1.0207570760867313e-10,48.28453063964844,0.01228325068950653,0.5930910110473633,0.24377049426125444
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,1,fc2,0.13756026313383665,24.433615291974302,24.432128996418136,0.04124155057490939,31549.281085778995,1.2286729875031996,-0.007989864454668998,-0.2314632245449255,0.0005321799307743195,3.104696413202761e-06,3.169644332713202e-05,0.005433127353670944,22.340393389242635,0.999961055436282,0.00015411207158836542,0.0022791230574464726,2.1097437685746456e-10,0.05084105581045151,7.455823577860141e-05,7.78260762501759e-08,2.139657895305902e-10,2.1427293966924665e-10,1.6654396262083537e-07,1.691409678983291e-07,3.3396446781353005e-07,9.998630395857688e-11,1.5606178891403033e-07,1.7126202583312988,0.05615962669253349,0.09618011116981506,0.1967436485890893
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,2,conv1,0.03100669922007141,7.195590658251862,7.19457674572155,7.950171671757031e-05,53854.478568230115,1.0005408072808077,-0.030547227301808307,-0.104179116240903,4.4041550877238495e-10,1.2234071829884356e-10,1.8568557816281012e-05,6.683457586538242e-05,5.562230052144573,0.9999814214001531,6.766036938188336e-06,8.535536558278114e-06,9.051510119206796e-07,2.5522051146253943e-05,3.161827281239482e-06,1.0623686534927401e-06,1.2603915649833654e-06,1.3668938265709585e-06,2.2734117237632745e-06,5.512340408131422e-06,2.191001985920591e-05,5.889822205062956e-07,1.0238786308036641e-05,3.148954391479492,0.00016065410454757512,0.0005058924434706569,1.9004343848818677
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,2,conv2,0.11910744214920775,46.47006719138236,46.47151610137111,0.000938972157987621,152218.97893374934,0.9979115635039273,0.013446051500861624,0.1363994746892823,3.096239916669243e-08,4.0444798036252186e-10,6.569483036440174e-06,0.0005029243143513998,18.839713717130547,0.9999934442369113,2.958442901571771e-06,2.3134788168535993e-05,1.6961767101975056e-08,0.0002832388272508979,1.382735867675953e-06,6.093756610425771e-08,4.155243047421209e-08,6.596250656798475e-08,1.304033929727666e-07,3.2063823596217844e-07,1.7174137951769816e-06,1.9417469054872073e-08,8.025495503716233e-07,19.332420349121094,0.000331872288370505,0.006415894720703363,2.2111620266051464
