seed,run_id,learning_rate,interval_index,layer,n_steps,gamma_model,gamma_oracle,gamma_dp_raw,gamma_dp_valid,model_to_oracle_ratio,model_multiplicative_error,clean_signal_energy_in,clean_signal_energy_filtered,signal_retention_oracle,signal_retention_after_model_gamma,noise_energy_in,noise_energy_filtered,noise_retention_oracle,noise_retention_after_model_gamma,dp_signal_energy_in,dp_signal_energy_out
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,0,conv1,50,3.0792653346011822,2.702089826193529,2.154917613770913,True,1.1395865913676844,1.1395865913676844,0.004208329156905181,0.0005763816375083944,0.13696210919306212,1.2986575992250176,0.1377044996330783,0.004772076177963903,0.03465446801433054,0.3285893339337561,0.003302138409123303,0.0007111053249886133
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,1,conv1,50,15.648727269364905,12.789756443661254,9.867104149473473,True,1.2235359866544284,1.2235359866544284,0.010733304357019718,6.561587068200143e-05,0.006113296381005707,1.4970403106384254,0.13423717642949753,0.00016180728564873525,0.0012053835602964858,0.2951775387745621,0.0046801934541814035,4.807113543689668e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,2,conv1,50,11.412803947080416,9.269414697580746,8.580675442151737,True,1.231232426148663,1.231232426148663,0.014123681325578612,0.00016437784616358048,0.011638456176852767,1.5159332871999223,0.13727490725144936,0.0003240082827692971,0.0023602877558373016,0.30743242248575703,0.013403814981249805,0.00018204781620786541
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,3,conv1,50,4.754161711277031,3.886287083519949,3.1960649932832554,True,1.2233171685739224,1.2233171685739224,0.01424970394776561,0.0009434873533274065,0.06621101440323943,1.4965048949277187,0.13321759290287935,0.0018449291168942277,0.013848990037218662,0.31301561480817525,0.009677035190221705,0.0009473514316746241
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,4,conv1,50,6.136433304744415,4.980462494466039,5.1427580537670545,True,1.2321010973504598,1.2321010973504598,0.014738020267666213,0.0005941550619357654,0.04031444190908626,1.5180731140922075,0.13905770694055697,0.0011146446471233264,0.008015698458193358,0.30183764784577416,0.01615068057990591,0.0006106588309985062
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,5,conv1,50,4.153351967192999,3.388286179455751,3.423460141133087,True,1.2257972754415147,1.2257972754415147,0.013708068133213493,0.0011940323289482033,0.0871043474065586,1.502578960479841,0.1386163122078928,0.0024690450965269544,0.017812081833658587,0.30726433527685615,0.013085445325124505,0.0011164980157411658
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,6,conv1,50,4.854949073498669,3.9404038706401923,3.0551829448537937,True,1.2320942809118427,1.2320942809118427,0.011885437899176673,0.0007654797620707709,0.06440484301582167,1.5180563170556705,0.13383508568229432,0.0017915154946021514,0.01338599280950107,0.3155149518729967,0.006830533581052303,0.0007317794154211449
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,7,conv1,50,8.197780785332483,6.594439525615596,6.127100375835423,True,1.2431353344721459,1.2431353344721459,0.010526142317827891,0.00024205466541528611,0.022995572177028575,1.5453854598131742,0.13782978269543766,0.0006368073579989482,0.004620244953923353,0.3104971390840582,0.0076948962996026046,0.0002049711705005864
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,8,conv1,50,7.389452156684376,5.949886938617782,4.893774690467644,True,1.2419483316099817,1.2419483316099817,0.009671614353029828,0.0002732005344779364,0.028247666263941842,1.5424356583888168,0.13648845318502167,0.0007869847366411346,0.0057659436990930655,0.31484360805749617,0.006128542597229907,0.0002558994002141488
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,9,conv1,50,9.005383305829305,7.233789067771088,6.9501522937715885,True,1.2449054321961437,1.2449054321961437,0.008768962100417537,0.00016757781029333387,0.019110335792802045,1.549789535111467,0.13911707243972296,0.0005363702269436001,0.0038555312984752473,0.312671745983776,0.007747062513177802,0.00016037933864902125
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,10,conv1,50,7.384612292261884,5.942241179396718,5.290697397558667,True,1.2427318362415578,1.2427318362415578,0.007331063802994436,0.00020761869164792024,0.028320404408854905,1.544382416808314,0.1376804528985875,0.0007862370315886842,0.005710593007475141,0.3114129057964859,0.005458401441138405,0.00019500225230665278
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,11,conv1,50,9.957368896622834,7.980222580917297,8.446356056628026,True,1.2477557857137203,1.2477557857137203,0.006310397961612551,9.908929517935574e-05,0.01570254297464856,1.5568945007820632,0.14087858684146043,0.0004411534024159514,0.003131443978156944,0.3104801506972961,0.008516659496765704,0.0001193797084074929
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,12,conv1,50,6.807863289661984,5.480962620425833,3.2697490600602475,True,1.2420926324677362,1.2420926324677362,0.004809251653036876,0.0001600898591250953,0.03328789397493976,1.5427941076306309,0.13589936771655498,0.0009452744981059359,0.006955694599532596,0.32237559548573125,0.0021302443058637045,0.00019925102578168203
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,13,conv1,50,23.6941505809741,18.944293709241048,16.461088564359862,True,1.250727577635479,1.250727577635479,0.0039716536749209675,1.1066608203621913e-05,0.0027863980874017493,1.564319473457913,0.1398595850464667,8.150928996075771e-05,0.0005827937351142377,0.32718784619127794,0.005202452479522802,1.919954863368936e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,14,conv1,50,10.367523341894973,8.313015678146108,5.575956042915312,True,1.2471434847825336,1.2471434847825336,0.0034197970463482334,4.948608921252073e-05,0.014470475452735866,1.5553668716355213,0.13774893942112193,0.0004031203956191569,0.0029264863839477506,0.3145549699974911,0.001683060707982804,5.413287566214173e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,15,conv1,50,29.63787585445326,23.664842167322107,27.877034208859058,True,1.2524011630797645,1.2524011630797645,0.0029567090750650077,5.279604249098602e-06,0.0017856353516899602,1.5685086732835467,0.13975331869910457,4.697146486136858e-05,0.0003361026793395893,0.2952338321253839,0.004239762129804205,5.455673294732306e-06
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,16,conv1,50,12.497567952944014,10.009878655359756,11.686423868457373,True,1.2485234220349146,1.2485234220349146,0.0030828060437197453,3.076724261488003e-05,0.009980271927116102,1.5588107353697738,0.13995273814991058,0.0002703477699846822,0.0019317076147170396,0.3017118761298688,0.0035785931965697047,2.620288214926419e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,17,conv1,50,14.57892653322394,11.683898502667484,15.726594052728744,True,1.247779286159967,1.247779286159967,0.002970251708813854,2.1757936410247078e-05,0.0073252836942010995,1.556953146969877,0.14239937304458425,0.00020124647597246544,0.0014132539467674242,0.3003801998315799,0.006761991683898605,2.7340426125636478e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,18,conv1,50,8.248172285762182,6.632457729735401,8.113389651464178,True,1.2436072149820154,1.2436072149820154,0.0026804371275783055,6.0933572773991154e-05,0.022732699882068417,1.5465589051553243,0.1403073667865392,0.0006187709655858274,0.0044101103153565205,0.3000301511177737,0.004328886368603206,6.576147086230727e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,19,conv1,50,12.252881842388,9.820645801958014,14.392746369280562,True,1.2476655903774734,1.2476655903774734,0.002604666749777633,2.7006734222502534e-05,0.01036859484032196,1.556669425411969,0.14020877812200994,0.0002763871300045885,0.001971254109097762,0.2959505167871823,0.0031893970472367025,1.5396472948632283e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,20,conv1,50,16.142736240216223,12.909573314087329,,False,1.2504469239584213,1.2504469239584213,0.002572868268153522,1.5438097316332395e-05,0.006000345026374748,1.563617509637078,0.13687263588796622,0.0001642208801398408,0.001199807975308226,0.3126554806678522,-0.00027360986685899666,1.402837958974643e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,21,conv1,50,16.181553995393454,12.938595036050158,,False,1.2506422799622063,1.2506422799622063,0.0024244587278904333,1.4482400558463768e-05,0.005973457247121371,1.5641061124290654,0.13538080206363856,0.00015076894626242634,0.0011136656303125923,0.29160520407399193,-0.0011155621515421955,5.183446277083831e-06
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,22,conv1,50,16.228313362861133,12.982092627786493,13.452116259783413,True,1.2500537338738844,1.2500537338738844,0.0020733651848217705,1.230230230391096e-05,0.005933495167166359,1.5626343375720402,0.13906793970597783,0.00015959066780352868,0.0011475733957153655,0.30222281176734617,0.0019478000690651026,1.0763738861092323e-05
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,23,conv1,20,25.786464711919532,20.595226958531217,34.931841517474155,True,1.2520602353079646,1.2520602353079646,0.0008109654875432798,1.911917761551177e-06,0.0023575821547512418,1.5676548328394357,0.05586019181721194,2.4522648673295278e-05,0.0004390004379780742,0.2919097248967648,0.0009810405275047017,8.039776697305113e-07
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,0,conv2,50,1.3598933889505915,1.8516288744839189,1.8862472963421675,True,0.734430861221916,1.3615985558344335,0.04037520233109622,0.011776244731954095,0.2916702345014443,0.5393886899151653,4.040041938769518,0.03873754098134938,0.009588400706837152,0.017731925592211657,0.03894166707396336,0.010945038131421898
42,dp_fisher_wiener_adaptive_beta_lr0p50,0.5,1,conv2,50,2.6079666863898883,4.467021735923365,5.40650889085031,True,0.5838267285374655,1.7128369619271853,0.04099398298849102,0.0020543951691862463,0.050114553878870795,0.3408536489547595,4.053040603807091,0.007244036601778701,0.001787309161170074,0.01215636581076988,0.05709847084427201,0.001953397531311919
