scope,n_intervals,gamma_model_median,gamma_model_q10,gamma_model_q90,gamma_oracle_median,gamma_oracle_q10,gamma_oracle_q90,model_multiplicative_error_median,model_multiplicative_error_q10,model_multiplicative_error_q90,model_to_oracle_ratio_median,model_to_oracle_ratio_q10,model_to_oracle_ratio_q90,signal_retention_oracle_median,signal_retention_oracle_q10,signal_retention_oracle_q90,signal_retention_after_model_gamma_median,signal_retention_after_model_gamma_q10,signal_retention_after_model_gamma_q90,noise_retention_after_model_gamma_median,noise_retention_after_model_gamma_q10,noise_retention_after_model_gamma_q90,gamma_dp_valid_rate,seed,run_id
fc1,24,2.0605376023867477,1.2830560221862213,2.846054824427464,2.0891381434196235,1.9099601069931547,3.02513650710262,1.0248861947422463,1.0038546993396098,1.3758355432194211,1.0002162833123611,0.7268399279117301,1.0253682614569561,0.22920885259410423,0.10931487687791361,0.2741288733220164,1.0004374116947272,0.5283027493651008,1.0513812916419274,0.00141296831140055,0.00118822834648241,0.00153886700105804,1.0,42,dp_fisher_wiener_adaptive_beta_lr5p00
fc2,24,1.3054665958889777,1.1197127027103353,1.4142647122602254,2.4636377423738485,2.038811570609555,2.8794800594149565,1.9111651269831742,1.7081426442669418,2.091441345579817,0.5232448063382196,0.4781783756265721,0.5855045023869763,0.16477468089349595,0.12081717063388527,0.24062802442782683,0.27378710592192723,0.22867346168680652,0.34285802338852905,0.020118567055641752,0.01752655456072484,0.04960546867856924,1.0,42,dp_fisher_wiener_adaptive_beta_lr5p00
conv1,24,6.465858264640694,4.6176548842073855,35.42581858190725,5.361326049591202,3.8420711697805676,28.63467301567195,1.2201033860880393,1.1800599324844128,1.2377310953021827,1.2201033860880393,1.1800599324844128,1.2377310953021827,0.03510110361554285,0.0012264045865187701,0.06789854163628666,1.4886525396624408,1.3925481296158484,1.5319783486897776,0.30975262505474077,0.2968042656656156,0.32554049480485026,0.9583333333333334,7,dp_fisher_wiener_adaptive_beta_lr0p50
conv2,24,4.8496993865155,2.717287827473617,9.21079300042515,5.571709929016203,3.092842665743032,9.82237299356622,1.0209166234607503,1.0044660797829337,1.6215629451642437,0.9795474678675591,0.6174153184838294,1.000904357718274,0.032212708991478545,0.01036497056903744,0.10900878884218777,0.9595480645540744,0.38166375598359775,1.0018101339067869,0.0110642098447068,0.01037336728712801,0.01186996233339067,0.875,7,dp_fisher_wiener_adaptive_beta_lr0p50
fc1,24,1.360550515557249,1.2785764180550627,1.4998246210214683,1.7628763820434714,1.5904647519676027,2.318253567904228,1.2771440584121394,1.151080207121159,1.7949752939730086,0.7836809565409002,0.5571535967865214,0.8687871519176343,0.3217823322399777,0.1860786825093949,0.3953234010316044,0.6146918246848556,0.3104441962142781,0.7548239045912561,0.0008519442202287999,0.00072479257934966,0.00093465388706659,1.0,7,dp_fisher_wiener_adaptive_beta_lr0p50
fc2,24,1.070831189815133,1.0584860886668537,1.0847131637603402,1.262259767448894,1.2339205609393875,1.3909804725060844,1.1781152258506316,1.147465958003252,1.294412490829606,0.8488213786301966,0.7725595966714385,0.8714872770375133,0.6276474113530386,0.5168486655468165,0.6568175364551688,0.7205044983680104,0.5968547899281892,0.7594915784310293,0.0087330579575244,0.00754595289545775,0.01035489188295329,1.0,7,dp_fisher_wiener_adaptive_beta_lr0p50
conv1,24,17.32189879802624,4.678943022158074,1162.4351706171572,15.057791788594933,3.88742045969615,1001.0239289713123,1.1575664491678221,1.134528840908049,1.2011696616386962,1.1575664491678221,1.134528840908049,1.2011696616386962,0.0044667025969711005,1.9829980420250708e-05,0.06911928153629679,1.339967285629987,1.2871568651638767,1.4428085571443419,0.3069390026650542,0.29459691386424436,0.3208488874922716,0.7083333333333334,7,dp_fisher_wiener_adaptive_beta_lr1p00
conv2,24,5.3757477221336885,3.2400569282441785,151.4334320582533,6.472291043374649,3.9490857244736493,165.48946736989177,1.108974474227876,1.093092583902992,1.3451558025146666,0.9017353203692071,0.7471899810219518,0.9148361481708519,0.023884088351380298,5.9175774376286024e-05,0.06412292803208976,0.8131277693092535,0.5612994935237637,0.8369256873835587,0.0109879664716231,0.01064425984667462,0.01164570275237699,0.75,7,dp_fisher_wiener_adaptive_beta_lr1p00
fc1,24,1.353769339000884,1.1605812661079815,1.6207580328159557,1.5578363130668915,1.320406124366703,1.7810568077648814,1.1073810756454212,1.0875690732298093,1.2915181906621316,0.9030323908960034,0.7760348463270919,0.9194842722050368,0.41337279952795913,0.3153446996434203,0.5736543328548085,0.8154682984689461,0.603647509338616,0.8454535706475768,0.00095886410962845,0.00085507782357989,0.00136758984737282,1.0,7,dp_fisher_wiener_adaptive_beta_lr1p00
fc2,24,1.0938669033028754,1.0343838936082415,1.1195686512250276,1.3041911228945653,1.2488846914546146,1.3432770123889386,1.1973074959105487,1.162350229810358,1.2631798340760076,0.835208110006946,0.79165679381695,0.8603259021331071,0.5879190336968608,0.5542462776832365,0.6411440200028982,0.6975732362910587,0.6267235544539228,0.7401606653237118,0.0125780708568698,0.00893403560781381,0.01627349971972174,1.0,7,dp_fisher_wiener_adaptive_beta_lr1p00
conv1,24,13.17124722566022,2.286544230091053,62.4604914123379,13.4036130721279,1.9775366449091776,66.43531066590515,1.0499529789130932,1.0125876273249468,1.185863628876026,0.9908703513968433,0.937188681514014,1.185863628876026,0.0055755568091835,0.00022669194595424,0.27303997712528394,0.9818343048132876,0.878379195235531,1.406275185064758,0.3077743845803129,0.295030783453687,0.34040081536907213,0.7916666666666666,7,dp_fisher_wiener_adaptive_beta_lr5p00
conv2,24,4.1824265916396985,1.597079279773705,7.696628319288701,4.429533746825557,1.5563753417884596,8.193633181732007,1.062551344660488,1.0226876911472482,1.120823027208638,0.9530636329879859,0.9356958541821543,1.0992050501926798,0.05108419635592375,0.0157733630673147,0.4160036085852246,0.9083753372494172,0.8755270850666939,1.2082639301451945,0.014262984768303351,0.013128268179127031,0.0172913243009016,0.875,7,dp_fisher_wiener_adaptive_beta_lr5p00
fc1,24,3.184245880378101,1.2543878531267532,4.5692061457893365,2.692724450932225,1.9224022573551176,3.842658804018601,1.2091364230221198,1.1248212886996272,1.6516907637071339,1.1797963963347549,0.60612541371234,1.2228774472692476,0.13795743778990194,0.06834702377288478,0.2713449281020204,1.391943735155611,0.3678157065947897,1.495440005777058,0.0021713046677831497,0.0015040232686251102,0.0027147589411706096,1.0,7,dp_fisher_wiener_adaptive_beta_lr5p00
fc2,24,1.4583052372659298,1.0940055023509507,1.6172251875777444,1.8639367531132018,1.6065781993783803,2.2399022701972986,1.290076486252797,1.2244449511961397,1.9501064555183327,0.7751528903438005,0.5153462163807284,0.8166979954856242,0.28785101371638466,0.19943187353728692,0.3874576569684948,0.600865919250634,0.2669811477613428,0.666996773216956,0.02254236990964245,0.019029920680012097,0.031833556906608246,1.0,7,dp_fisher_wiener_adaptive_beta_lr5p00
conv1,24,8.45592069166571,6.76749417875348,13.659675384574998,7.024949345671644,5.485838454516096,11.031800959805167,1.2242782940771708,1.194990352079743,1.2422007021064647,1.2242782940771708,1.194990352079743,1.2422007021064647,0.0202636563852665,0.00821744455887862,0.03333907015171313,1.498857558218432,1.4280019476432604,1.5430625858485354,0.3078331198958705,0.29604441275389787,0.316928231688891,1.0,91,dp_fisher_wiener_adaptive_beta_lr0p50
conv2,24,3.4793412270392907,2.503739626959838,8.774580844100532,6.636027357029908,4.847734844172454,12.162834088652984,1.6948765757798352,1.2557517352532124,2.10414584354706,0.5901653796671431,0.47525889125641096,0.7970345765530991,0.0227561054388914,0.0067655223435840305,0.04261575677018442,0.3483848305607983,0.22587419089863597,0.6358068938900505,0.0112307376899479,0.01020895791095243,0.01179020088334696,0.875,91,dp_fisher_wiener_adaptive_beta_lr0p50
fc1,24,1.33534326593277,1.2529278090026106,1.4339702226092028,2.0858912826635425,1.821470270631148,2.354343600045932,1.6110070817683688,1.3688816994651625,1.7245427866784353,0.620729840390283,0.5798666534237245,0.7305525246419191,0.229836137415217,0.18041170565240644,0.30140883159989695,0.38530559976496204,0.3362469711554677,0.5337282113629152,0.0007087287965229501,0.00069196263962525,0.00074786297750118,1.0,91,dp_fisher_wiener_adaptive_beta_lr0p50
fc2,24,1.0878595118099956,1.0696390041057802,1.1148141747016242,1.3606291750630388,1.2572428556362867,1.4915760925740278,1.2430694757826375,1.1742988459510997,1.3435060664232343,0.804461879772254,0.7448164064635143,0.851589870681834,0.5401788134136072,0.45012161941456474,0.6326506275504585,0.6471602149656941,0.5551287399153431,0.7252204777509486,0.007996631697854549,0.00749869169920565,0.00857638658636091,1.0,91,dp_fisher_wiener_adaptive_beta_lr0p50
conv1,24,14.390983320995264,5.814024535006034,54.17261904611453,12.06465925550777,4.778610549942289,45.67789666661066,1.1913352396776946,1.1650938485683766,1.2210089134978788,1.1913352396776946,1.1650938485683766,1.2210089134978788,0.00692515397042725,0.00047936170659326,0.044027141625720134,1.4192847695547686,1.3574475250842086,1.4908633580204793,0.30705873105186915,0.2949913058871191,0.3158893412018923,0.7916666666666666,91,dp_fisher_wiener_adaptive_beta_lr1p00
conv2,24,3.4899886820710497,2.5456509078371927,45.00478623469186,5.247220212405065,3.2947037543559525,52.95927010425486,1.1651035885579333,1.127929089364948,1.7880161122844525,0.8582949007401917,0.5613830580629862,0.886608389585473,0.03633256975386795,0.001254056855470641,0.09212543771285095,0.736671955392143,0.31639690289815225,0.7860989929372597,0.01173797584020775,0.011058554832167871,0.01253097403205975,0.7916666666666666,91,dp_fisher_wiener_adaptive_beta_lr1p00
fc1,24,1.2724899052466794,1.154554970836955,1.5762153788015583,1.5735012513173496,1.3409103564363865,1.9245884165340115,1.1192182493937373,1.111123103247597,1.542139156890541,0.8934816512575239,0.648851359901238,0.8999902993122323,0.40389963768705095,0.2702610654343404,0.5561656927400406,0.7983102351626954,0.4212742846854433,0.8099825504089461,0.0009220401037387501,0.00072143364744624,0.00126887597275084,1.0,91,dp_fisher_wiener_adaptive_beta_lr1p00
fc2,24,1.0749268839789363,1.0355721714150052,1.1254561647131633,1.3196924576686577,1.293671898373761,1.390907536490901,1.222505962062662,1.1834062080649417,1.3152764622089488,0.8180108615938958,0.7602966225979579,0.8450183937576294,0.5741885549312449,0.5170730255828208,0.5975193977995813,0.6691572635256865,0.5780511000665398,0.714056095143241,0.01125923540124415,0.00800900655938406,0.01636704209467194,1.0,91,dp_fisher_wiener_adaptive_beta_lr1p00
conv1,24,15.037303056402264,2.9015774869983657,56.10664540585532,13.83376716614556,2.465387871019134,62.06481283810696,1.0991865910216654,1.0290287463041476,1.1969820146670347,1.007040462199941,0.9073375458172421,1.1969820146670347,0.00522553097758395,0.00026109291991545,0.16477927264244077,1.0141747556478957,0.8232933983823064,1.432812154686353,0.3092063615098317,0.29604248467420696,0.3280492170531403,0.75,91,dp_fisher_wiener_adaptive_beta_lr5p00
conv2,24,2.967867524189608,1.634178176751489,6.1610248498604925,3.2775520264953384,1.5740115344025463,7.1293455276957785,1.1089764996278624,1.0434882106880763,1.151122597204696,0.9017337882310007,0.8687233487243442,1.06758230841588,0.0931079628002419,0.02008703203666359,0.40365708167104275,0.8131251096268142,0.7546856101994908,1.1397430910349524,0.0138408585518415,0.01297402547197612,0.01556225420907432,0.9166666666666666,91,dp_fisher_wiener_adaptive_beta_lr5p00
fc1,24,2.5711057288541586,1.1957639422850637,3.403405145005004,2.317280811360371,1.949468988518616,3.245488565222172,1.1885530896634569,1.0670185309542872,1.644586789895731,1.0718279327934956,0.6118169057987848,1.2123588703256813,0.18622702981731248,0.09494579662770868,0.2638821051728918,1.1489596821791972,0.3767842196008884,1.4698771977680223,0.00218943598381545,0.00139396705031272,0.00309120571088976,0.9583333333333334,91,dp_fisher_wiener_adaptive_beta_lr5p00
fc2,24,1.356201196837008,1.0976765836437528,1.6767151660170143,2.1223026433673597,1.8471166250400715,2.7023164893070746,1.5482527194595985,1.3749885028578757,2.036706941229488,0.6458923409526778,0.49099156321879217,0.7275884490973819,0.22202493163254836,0.13714987319492647,0.2931048189775718,0.4171788239920372,0.2410741465114946,0.5296062218057545,0.02944923790184235,0.01848567784952906,0.04406963123055045,1.0,91,dp_fisher_wiener_adaptive_beta_lr5p00
