scope,n_intervals,gamma_model_median,gamma_model_q10,gamma_model_q90,gamma_oracle_median,gamma_oracle_q10,gamma_oracle_q90,model_multiplicative_error_median,model_multiplicative_error_q10,model_multiplicative_error_q90,model_to_oracle_ratio_median,model_to_oracle_ratio_q10,model_to_oracle_ratio_q90,signal_retention_oracle_median,signal_retention_oracle_q10,signal_retention_oracle_q90,signal_retention_after_model_gamma_median,signal_retention_after_model_gamma_q10,signal_retention_after_model_gamma_q90,noise_retention_after_model_gamma_median,noise_retention_after_model_gamma_q10,noise_retention_after_model_gamma_q90,gamma_dp_valid_rate,seed,run_id
conv1,24,10.162446119258902,4.7843979199435225,21.454399415540205,8.146619129531702,3.902522119656022,17.155633384804677,1.2442563235890796,1.2242143732905544,1.250701988333497,1.2442563235890796,1.2242143732905544,1.250701988333497,0.01508650921369215,0.003730527211331081,0.06566916298701406,1.5481742201333957,1.4987019055908501,1.5642554651492586,0.3089562865915265,0.2951944267798086,0.32031740240191087,0.9166666666666666,42,dp_fisher_wiener_adaptive_beta_lr0p50
conv2,24,4.581274288063594,2.4270547442437613,15.824035101027416,4.892347918121953,3.761988667007349,17.31988773807559,1.1601870609579699,1.0677019969894568,1.5860719724903616,0.8619303899533683,0.6308955627650392,0.9365910924424663,0.041781255455106955,0.004808718269741273,0.07074762296157117,0.7429243580897369,0.39829183981661387,0.8772030320731312,0.01217289769662435,0.011569280100456,0.01329998389458245,0.7083333333333334,42,dp_fisher_wiener_adaptive_beta_lr0p50
fc1,24,1.370905980404008,1.2755823634573262,1.5268718026715313,1.8354926928865343,1.5732094136475192,2.320409837895206,1.245040311905917,1.167009514022446,1.7906254162764401,0.8038385135579371,0.5585605856127628,0.8568921027145404,0.2971403822443241,0.18572979743244078,0.4040547945467794,0.6466801921752962,0.3120444463502308,0.7342649826264462,0.00085286813671275,0.00079507504203835,0.00091504706859545,1.0,42,dp_fisher_wiener_adaptive_beta_lr0p50
fc2,24,1.0814501777867933,1.0604518923895474,1.1050315389234957,1.2631817608426923,1.1782581275828428,1.5745528262071886,1.1616651390125332,1.1088476341393703,1.4590218559722075,0.8608950643200914,0.6856124583755685,0.9018371603042923,0.6268098264191126,0.4035103889916702,0.7203175734230417,0.741193510389409,0.4702188943364823,0.813310264992633,0.0087690064286523,0.00803136389675806,0.00988868546079855,1.0,42,dp_fisher_wiener_adaptive_beta_lr0p50
conv1,24,26.93202721151183,4.3011768067394085,95.01311344235438,23.532917388147155,3.5770645167044277,83.29633353507839,1.174272388369325,1.1040380432026213,1.222034269309451,1.174272388369325,1.1040380432026213,1.222034269309451,0.0018061927742116998,0.00023599709931144757,0.07859834497125398,1.3789156421257098,1.219091607985864,1.4933741441372461,0.30706189155177704,0.2943367308335442,0.3171713066076712,0.5833333333333334,42,dp_fisher_wiener_adaptive_beta_lr1p00
conv2,24,4.92941382875744,2.4148976871960923,32.50232307428514,5.502923868111728,3.043630966098748,36.46082438086319,1.116962314496719,1.0862928834797763,1.2862884100586174,0.8952900444078782,0.7818789799715276,0.920563576322143,0.033449813750898554,0.0007529526469905,0.10859654467897348,0.8015484638041754,0.6150494700130397,0.84743870469347,0.01224920960843405,0.0114967259909336,0.013721316784999158,0.625,42,dp_fisher_wiener_adaptive_beta_lr1p00
fc1,24,1.3945353294110974,1.1721173953999358,1.5810496632643847,1.542206506293081,1.3733079368837853,1.8409702490869835,1.1035462759806725,1.0858285735175035,1.1932824807709033,0.9061704698583715,0.8392451204854908,0.920956659000085,0.420458609636821,0.29625554731882653,0.5305089638234266,0.8211457805226556,0.7053914114696316,0.8481620620293494,0.00097452500575605,0.00089996268707542,0.0014058657311527998,1.0,42,dp_fisher_wiener_adaptive_beta_lr1p00
fc2,24,1.0951060826877574,1.036854392537801,1.1474600513252415,1.2888236110318698,1.2424295289717615,1.401034427818414,1.1881702448538505,1.136556600478842,1.2416767010280318,0.8416341125010904,0.8054343257065724,0.8798506121775658,0.6020575630818381,0.5095072337488565,0.6478239255434126,0.7083512444601314,0.6487826856298984,0.7741371157763224,0.01203706506173785,0.010248225227436151,0.016206622620771757,1.0,42,dp_fisher_wiener_adaptive_beta_lr1p00
conv1,24,24.598081681911324,8.212359777592084,37.90549806228905,26.26045417275978,7.107289691381919,40.158518470488154,1.0752208890689996,1.0204682078254654,1.1884813087445067,0.978616637763129,0.9228122661091053,1.1884813087445067,0.0015000437136473998,0.00062007589212539,0.019998978529445505,0.9577016672360098,0.8515955328811181,1.4124890629574434,0.3061038217634909,0.29415458127491056,0.3194542737360877,0.5833333333333334,42,dp_fisher_wiener_adaptive_beta_lr5p00
conv2,24,3.678488081628594,1.6845912772184102,12.71673636461056,3.357299888840433,1.6359020711713157,11.749202864222996,1.0944328864622674,1.0683019181760534,1.1078760679282043,1.0914516334045268,1.0575284642049527,1.1047344282114697,0.08906045956669606,0.00724776316839742,0.37366756077528857,1.1912674910548886,1.1184047708275726,1.2204383641386498,0.01295461566062845,0.01228732539886329,0.01550258213168874,0.9166666666666666,42,dp_fisher_wiener_adaptive_beta_lr5p00
